axis,angle_degrees,qm_relative_energy_kcal_mol,c1_mm_relaxed_relative_energy_kcal_mol,residual_qm_minus_mm_kcal_mol,low_energy_weight,sampled_status,critical_point_classification
CHI,15,0.8500053424677801,1.4154931394706267,-0.5654877970028466,1.0,AUTHORITATIVE_CALCULATED,REGULAR
CHI,30,0.1979165005694423,0.6669545439352547,-0.46903804336581234,1.0,AUTHORITATIVE_CALCULATED,REGULAR
CHI,45,0.0,0.07355587384662954,-0.07355587384662954,1.0,AUTHORITATIVE_CALCULATED,LOCAL_MINIMUM
CHI,60,0.32618472333560894,0.0,0.32618472333560894,1.0,AUTHORITATIVE_CALCULATED,REGULAR
CHI,75,1.0408015037026501,0.5731401091874204,0.4676613945152297,0.9999492892852584,AUTHORITATIVE_CALCULATED,REGULAR
CHI,90,2.0223598887749024,1.698455552272378,0.32390433650252426,0.9684972664990308,AUTHORITATIVE_CALCULATED,REGULAR
CHI,105,3.0480034924252344,2.717053022660977,0.33095046976425735,0.8775833063612418,AUTHORITATIVE_CALCULATED,REGULAR
CHI,120,3.7373350122694022,3.2875621782041122,0.44977283406529,0.7885961103797794,AUTHORITATIVE_CALCULATED,REGULAR
CHI,135,3.8030037733710786,3.0811260438902153,0.7218777294808634,0.7791616690798191,AUTHORITATIVE_CALCULATED,BARRIER
CHI,150,3.292878201783699,2.281691567403115,1.011186634380584,0.8482222419859404,AUTHORITATIVE_CALCULATED,REGULAR
CHI,165,2.5316328285396272,1.3811964576913525,1.1504363708482748,0.9302258757902055,AUTHORITATIVE_CALCULATED,REGULAR
PHI,-180,12.297421019351964,14.113844660547272,-1.8164236411953087,0.0,AUTHORITATIVE_CALCULATED,BARRIER
PHI,-165,12.017065696114134,13.576862767954907,-1.559797071840773,0.0,AUTHORITATIVE_CALCULATED,LOCAL_MINIMUM
PHI,-150,12.14534987811232,13.21439256251152,-1.0690426843992,0.0,AUTHORITATIVE_CALCULATED,BARRIER
PHI,-135,12.088672339648122,12.210367877382026,-0.1216955377339044,0.0,AUTHORITATIVE_CALCULATED,REGULAR
PHI,-120,9.406090467076242,9.653342055627007,-0.2472515885507658,0.010706297616978055,AUTHORITATIVE_CALCULATED,REGULAR
PHI,-105,5.389702277432289,5.933403152837386,-0.5437008754050963,0.519245828530031,AUTHORITATIVE_CALCULATED,REGULAR
PHI,-90,1.8840517384563273,2.3271151905087777,-0.44306345205245035,0.9763810328727796,AUTHORITATIVE_CALCULATED,REGULAR
PHI,-75,0.0,0.0,0.0,1.0,AUTHORITATIVE_CALCULATED,LOCAL_MINIMUM
PHI,-60,1.1679589391511374,0.26870086608946764,0.8992580730616697,0.9991409141290801,AUTHORITATIVE_CALCULATED,REGULAR
PHI,-45,5.348395421266241,4.3162240784408965,1.032171342825344,0.5264476420210209,AUTHORITATIVE_CALCULATED,REGULAR
PHI,-30,12.61886348886727,13.199569011046464,-0.5807055221791941,0.0,AUTHORITATIVE_CALCULATED,REGULAR
PHI,-15,24.120153734931876,27.162284406442268,-3.0421306715103924,0.0,AUTHORITATIVE_CALCULATED,REGULAR
PHI,0,39.62646469177788,45.83518571396594,-6.208721022188058,0.0,AUTHORITATIVE_CALCULATED,BARRIER
PHI,105,36.46525443667219,41.15139950012829,-4.686145063456102,0.0,AUTHORITATIVE_CALCULATED,REGULAR
PHI,120,25.91194918747669,31.997204318719483,-6.085255131242793,0.0,AUTHORITATIVE_CALCULATED,REGULAR
PHI,135,18.085910819557824,23.431920257918193,-5.346009438360369,0.0,AUTHORITATIVE_CALCULATED,REGULAR
PHI,150,13.569233322541978,17.13255021345053,-3.563316890908551,0.0,AUTHORITATIVE_CALCULATED,REGULAR
PHI,165,12.21349737743903,14.536079936683919,-2.322582559244889,0.0,AUTHORITATIVE_CALCULATED,LOCAL_MINIMUM
PSI,-105,32.011747071349355,38.48079897715198,-6.469051905802623,0.0,AUTHORITATIVE_CALCULATED,REGULAR
PSI,-90,14.696882575166297,17.160477408206447,-2.4635948330401494,0.0,AUTHORITATIVE_CALCULATED,REGULAR
PSI,-75,4.330868332829533,4.8679751355402345,-0.5371068027107011,0.6984348480349312,AUTHORITATIVE_CALCULATED,REGULAR
PSI,-60,0.0,0.0,0.0,1.0,AUTHORITATIVE_CALCULATED,LOCAL_MINIMUM
PSI,-45,0.19638589416353,0.21180103998668187,-0.015415145823151871,1.0,AUTHORITATIVE_CALCULATED,REGULAR
PSI,-30,3.0779934750218234,2.9812882543343946,0.09670522068742882,0.8741314635806368,AUTHORITATIVE_CALCULATED,REGULAR
PSI,-15,6.97513939178259,6.526904524008728,0.4482348677738619,0.25376704582985377,AUTHORITATIVE_CALCULATED,REGULAR
PSI,0,10.412722960962697,9.986151900193335,0.426571060769362,0.0,AUTHORITATIVE_CALCULATED,REGULAR
PSI,15,11.945479233545104,12.600607804231771,-0.6551285706866672,0.0,AUTHORITATIVE_CALCULATED,BARRIER
PSI,30,11.696853683615846,13.39492703247528,-1.6980733488594346,0.0,AUTHORITATIVE_CALCULATED,LOCAL_MINIMUM
PSI,45,12.409782605194598,14.578512632716368,-2.16873002752177,0.0,AUTHORITATIVE_CALCULATED,REGULAR
PSI,60,15.683428081132595,18.995318032301356,-3.3118899511687605,0.0,AUTHORITATIVE_CALCULATED,REGULAR
PSI,75,23.207234060776265,28.697664989363133,-5.490430928586868,0.0,AUTHORITATIVE_CALCULATED,REGULAR
PSI,90,36.77978373595889,45.082752412096326,-8.30296867613744,0.0,AUTHORITATIVE_CALCULATED,BARRIER
