metric,input_file,exists_on_disk
tsl_nac_geometry,/Users/yazan/totah-lab/analysis/mettl7-closure/stage3/7B_WT/7B_WT_SAM_TSL_1.pdb,true
netarsudil_nac_and_c202_c203,/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/vina-matched/raw/7B_neutral_seed483271.pdbqt,true
netarsudil_nac_and_c202_c203,/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/vina-matched/raw/7B_neutral_seed172904.pdbqt,true
netarsudil_nac_and_c202_c203,/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/vina-matched/raw/7B_neutral_seed806519.pdbqt,true
netarsudil_nac_and_c202_c203,/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/local-architecture/prepared/corrected_7A_lowest_strain_mode15.pdbqt,true
netarsudil_nac_and_c202_c203,/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/vina-matched/prepared/METTL7A_SAM_receptor.pdbqt,true
netarsudil_nac_and_c202_c203,/Users/yazan/totah-lab/research/mettl7-netarsudil-sam-mechanism/vina-matched/prepared/METTL7B_SAM_receptor.pdbqt,true
netarsudil_nac_and_c202_c203,/Users/yazan/totah-lab/analysis/dcmb/sam_state/validated/WT_METTL7B_SAM_BOUND.pdb,true
stage12d_brics,/Users/yazan/totah-lab/analysis/mettl7-closure/stage8_11_design/stage8-clearance-profiles.csv,true
stage12d_brics,/Users/yazan/totah-lab/analysis/mettl7-closure/stage6_1/stage6.1-manifest.json,true
stage12d_brics,/Users/yazan/totah-lab/analysis/mettl7-closure/stage6_1/ccd/ (218 cif files),true
docking_inventory_74_ligand,PostgreSQL totah_lab_db docking.docking_pose/pose_residue_contact (no file),db_only
tsl_reconstruct_search_7b_cloud,/Users/yazan/artifacts/UP000005640_9606_HUMAN_v6_pockets/fpocket-human/AF-Q6UX53-F1-model_v6-1472429501895029362/AF-Q6UX53-F1-model_v6_out/pockets/pocket1_vert.pqr,true_outside_repo
