arm,residue,interaction_type,old_RECURRENT_BASIN_PRESENCE,old_PERSISTENT_WITHIN_BASIN,old_total_recurrent_basins,hardened_RECURRENT_BASIN_PRESENCE,hardened_PERSISTENT_WITHIN_BASIN,hardened_total_recurrent_basins,changed
BRANCH_POINT_ENANTIOMER_B,126,HYDROPHOBIC_CONTACT,1,1,14,1,1,14,False
BRANCH_POINT_ENANTIOMER_B,149,HYDROGEN_BOND,1,1,14,1,1,14,False
BRANCH_POINT_ENANTIOMER_B,151,HYDROGEN_BOND,1,1,14,1,1,14,False
BRANCH_POINT_ENANTIOMER_B,151,HYDROPHOBIC_CONTACT,10,9,14,10,9,14,False
BRANCH_POINT_ENANTIOMER_B,153,HYDROPHOBIC_CONTACT,3,2,14,3,2,14,False
BRANCH_POINT_ENANTIOMER_B,180,HYDROPHOBIC_CONTACT,2,2,14,2,2,14,False
BRANCH_POINT_ENANTIOMER_B,185,HYDROPHOBIC_CONTACT,2,2,14,2,2,14,False
BRANCH_POINT_ENANTIOMER_B,196,HYDROPHOBIC_CONTACT,9,7,14,9,7,14,False
BRANCH_POINT_ENANTIOMER_B,196,PI_CATION,1,1,14,1,1,14,False
BRANCH_POINT_ENANTIOMER_B,201,HYDROGEN_BOND,1,1,14,1,1,14,False
BRANCH_POINT_ENANTIOMER_B,205,HYDROGEN_BOND,1,1,14,1,1,14,False
BRANCH_POINT_ENANTIOMER_B,206,HYDROPHOBIC_CONTACT,12,9,14,12,9,14,False
BRANCH_POINT_ENANTIOMER_B,206,PI_CATION,7,7,14,7,7,14,False
BRANCH_POINT_ENANTIOMER_B,207,HYDROGEN_BOND,5,5,14,5,5,14,False
BRANCH_POINT_ENANTIOMER_B,207,HYDROPHOBIC_CONTACT,4,4,14,4,4,14,False
BRANCH_POINT_ENANTIOMER_B,29,HYDROGEN_BOND,1,1,14,1,1,14,False
BRANCH_POINT_ENANTIOMER_B,33,HYDROGEN_BOND,2,2,14,2,2,14,False
BRANCH_POINT_ENANTIOMER_B,99,HYDROPHOBIC_CONTACT,2,2,14,2,2,14,False
DES_ORTHO_METHYL_A,126,HYDROPHOBIC_CONTACT,13,10,13,13,10,13,False
DES_ORTHO_METHYL_A,128,HYDROPHOBIC_CONTACT,9,8,13,9,8,13,False
DES_ORTHO_METHYL_A,129,HYDROPHOBIC_CONTACT,2,2,13,2,2,13,False
DES_ORTHO_METHYL_A,151,HYDROGEN_BOND,1,1,13,1,1,13,False
DES_ORTHO_METHYL_A,151,HYDROPHOBIC_CONTACT,13,13,13,13,13,13,False
DES_ORTHO_METHYL_A,151,PI_CATION,7,5,13,7,5,13,False
DES_ORTHO_METHYL_A,196,PI_STACK_T_SHAPED,6,6,13,6,6,13,False
DES_ORTHO_METHYL_A,197,HYDROPHOBIC_CONTACT,1,1,13,1,1,13,False
DES_ORTHO_METHYL_A,200,HYDROGEN_BOND,2,0,13,2,0,13,False
DES_ORTHO_METHYL_A,203,HYDROGEN_BOND,1,1,13,1,1,13,False
DES_ORTHO_METHYL_A,23,HYDROGEN_BOND,1,1,13,1,1,13,False
DES_ORTHO_METHYL_A,33,PI_CATION,4,2,13,4,2,13,False
DES_ORTHO_METHYL_A,99,HYDROGEN_BOND,1,0,13,1,0,13,False
DES_ORTHO_METHYL_A,99,HYDROPHOBIC_CONTACT,9,6,13,9,6,13,False
DES_ORTHO_METHYL_B,151,HYDROPHOBIC_CONTACT,4,3,13,4,3,13,False
DES_ORTHO_METHYL_B,153,HYDROPHOBIC_CONTACT,3,3,13,3,3,13,False
DES_ORTHO_METHYL_B,180,HYDROPHOBIC_CONTACT,2,0,13,2,0,13,False
DES_ORTHO_METHYL_B,185,HYDROPHOBIC_CONTACT,2,2,13,2,2,13,False
DES_ORTHO_METHYL_B,196,HYDROPHOBIC_CONTACT,8,7,13,8,7,13,False
DES_ORTHO_METHYL_B,201,HYDROGEN_BOND,1,0,13,1,0,13,False
DES_ORTHO_METHYL_B,206,HYDROPHOBIC_CONTACT,11,11,13,11,11,13,False
DES_ORTHO_METHYL_B,206,PI_CATION,4,3,13,4,3,13,False
DES_ORTHO_METHYL_B,207,HYDROGEN_BOND,4,3,13,4,3,13,False
DES_ORTHO_METHYL_B,207,HYDROPHOBIC_CONTACT,7,7,13,7,7,13,False
DES_ORTHO_METHYL_B,29,HYDROGEN_BOND,2,2,13,2,2,13,False
DES_ORTHO_METHYL_B,99,HYDROPHOBIC_CONTACT,3,3,13,3,3,13,False
DES_PARA_METHYL_A,126,HYDROPHOBIC_CONTACT,10,6,12,10,6,12,False
DES_PARA_METHYL_A,128,HYDROPHOBIC_CONTACT,9,9,12,9,9,12,False
DES_PARA_METHYL_A,129,HYDROPHOBIC_CONTACT,2,2,12,2,2,12,False
DES_PARA_METHYL_A,149,HYDROGEN_BOND,1,1,12,1,1,12,False
DES_PARA_METHYL_A,151,HYDROPHOBIC_CONTACT,12,11,12,12,11,12,False
DES_PARA_METHYL_A,151,PI_CATION,6,5,12,6,5,12,False
DES_PARA_METHYL_A,152,HYDROPHOBIC_CONTACT,2,2,12,2,2,12,False
DES_PARA_METHYL_A,155,PI_CATION,1,1,12,1,1,12,False
DES_PARA_METHYL_A,196,PI_CATION,1,0,12,1,0,12,False
DES_PARA_METHYL_A,196,PI_STACK_T_SHAPED,4,4,12,4,4,12,False
DES_PARA_METHYL_A,197,HYDROPHOBIC_CONTACT,1,1,12,1,1,12,False
DES_PARA_METHYL_A,200,HYDROGEN_BOND,1,0,12,1,0,12,False
DES_PARA_METHYL_A,29,HYDROGEN_BOND,1,1,12,1,1,12,False
DES_PARA_METHYL_A,33,PI_CATION,6,5,12,6,5,12,False
DES_PARA_METHYL_A,99,HYDROGEN_BOND,3,2,12,3,2,12,False
DES_PARA_METHYL_A,99,HYDROPHOBIC_CONTACT,5,5,12,5,5,12,False
DES_PARA_METHYL_B,150,HYDROGEN_BOND,1,1,13,1,1,13,False
DES_PARA_METHYL_B,151,HYDROGEN_BOND,1,1,13,1,1,13,False
DES_PARA_METHYL_B,151,HYDROPHOBIC_CONTACT,8,5,13,8,5,13,False
DES_PARA_METHYL_B,153,HYDROPHOBIC_CONTACT,3,3,13,3,3,13,False
DES_PARA_METHYL_B,180,HYDROPHOBIC_CONTACT,1,0,13,1,0,13,False
DES_PARA_METHYL_B,185,HYDROPHOBIC_CONTACT,1,1,13,1,1,13,False
DES_PARA_METHYL_B,196,HYDROGEN_BOND,1,1,13,1,1,13,False
DES_PARA_METHYL_B,196,HYDROPHOBIC_CONTACT,8,7,13,8,7,13,False
DES_PARA_METHYL_B,196,PI_CATION,2,1,13,2,1,13,False
DES_PARA_METHYL_B,206,HYDROPHOBIC_CONTACT,12,10,13,12,10,13,False
DES_PARA_METHYL_B,206,PI_CATION,6,5,13,6,5,13,False
DES_PARA_METHYL_B,207,HYDROGEN_BOND,7,7,13,7,7,13,False
DES_PARA_METHYL_B,207,HYDROPHOBIC_CONTACT,3,2,13,3,2,13,False
DES_PARA_METHYL_B,210,HYDROPHOBIC_CONTACT,1,0,13,1,0,13,False
DES_PARA_METHYL_B,29,HYDROGEN_BOND,2,1,13,2,1,13,False
DES_PARA_METHYL_B,99,HYDROPHOBIC_CONTACT,1,1,13,1,1,13,False
N_ACETYL_AMINE_A,126,HYDROPHOBIC_CONTACT,11,10,12,11,10,12,False
N_ACETYL_AMINE_A,128,HYDROPHOBIC_CONTACT,6,6,12,6,6,12,False
N_ACETYL_AMINE_A,129,HYDROPHOBIC_CONTACT,4,4,12,4,4,12,False
N_ACETYL_AMINE_A,151,HYDROPHOBIC_CONTACT,11,11,12,11,11,12,False
N_ACETYL_AMINE_A,151,PI_CATION,7,7,12,7,7,12,False
N_ACETYL_AMINE_A,196,PI_STACK_T_SHAPED,4,4,12,4,4,12,False
N_ACETYL_AMINE_A,200,HYDROGEN_BOND,1,0,12,1,0,12,False
N_ACETYL_AMINE_A,29,HYDROGEN_BOND,5,2,12,5,2,12,False
N_ACETYL_AMINE_A,33,PI_CATION,5,5,12,5,5,12,False
N_ACETYL_AMINE_A,99,HYDROPHOBIC_CONTACT,8,7,12,8,7,12,False
N_ACETYL_AMINE_B,126,HYDROPHOBIC_CONTACT,2,2,15,2,2,15,False
N_ACETYL_AMINE_B,151,HYDROPHOBIC_CONTACT,11,9,15,11,9,15,False
N_ACETYL_AMINE_B,153,HYDROPHOBIC_CONTACT,4,4,15,4,4,15,False
N_ACETYL_AMINE_B,180,HYDROPHOBIC_CONTACT,1,1,15,1,1,15,False
N_ACETYL_AMINE_B,196,HYDROPHOBIC_CONTACT,9,8,15,9,8,15,False
N_ACETYL_AMINE_B,196,PI_CATION,1,1,15,1,1,15,False
N_ACETYL_AMINE_B,206,HYDROPHOBIC_CONTACT,10,7,15,10,7,15,False
N_ACETYL_AMINE_B,206,PI_CATION,6,6,15,6,6,15,False
N_ACETYL_AMINE_B,207,HYDROGEN_BOND,5,5,15,5,5,15,False
N_ACETYL_AMINE_B,207,HYDROPHOBIC_CONTACT,7,5,15,7,5,15,False
N_ACETYL_AMINE_B,33,HYDROGEN_BOND,2,0,15,2,0,15,False
N_ACETYL_AMINE_B,99,HYDROPHOBIC_CONTACT,3,3,15,3,3,15,False
QUINOLINE_REGIOISOMER_A,126,HYDROGEN_BOND,1,1,11,1,1,11,False
QUINOLINE_REGIOISOMER_A,126,HYDROPHOBIC_CONTACT,11,10,11,11,10,11,False
QUINOLINE_REGIOISOMER_A,128,HYDROPHOBIC_CONTACT,6,4,11,6,4,11,False
QUINOLINE_REGIOISOMER_A,129,HYDROPHOBIC_CONTACT,5,5,11,5,5,11,False
QUINOLINE_REGIOISOMER_A,149,HYDROGEN_BOND,2,2,11,2,2,11,False
QUINOLINE_REGIOISOMER_A,151,HYDROPHOBIC_CONTACT,11,11,11,11,11,11,False
QUINOLINE_REGIOISOMER_A,151,PI_CATION,4,3,11,4,3,11,False
QUINOLINE_REGIOISOMER_A,152,HYDROPHOBIC_CONTACT,5,4,11,5,4,11,False
QUINOLINE_REGIOISOMER_A,196,PI_STACK_T_SHAPED,3,3,11,3,3,11,False
QUINOLINE_REGIOISOMER_A,197,HYDROPHOBIC_CONTACT,2,2,11,2,2,11,False
QUINOLINE_REGIOISOMER_A,206,HYDROGEN_BOND,1,1,11,1,1,11,False
QUINOLINE_REGIOISOMER_A,33,HYDROGEN_BOND,3,1,11,3,1,11,False
QUINOLINE_REGIOISOMER_A,33,PI_CATION,2,1,11,2,1,11,False
QUINOLINE_REGIOISOMER_A,99,HYDROPHOBIC_CONTACT,5,5,11,5,5,11,False
QUINOLINE_REGIOISOMER_B,126,HYDROPHOBIC_CONTACT,3,2,13,3,2,13,False
QUINOLINE_REGIOISOMER_B,151,HYDROGEN_BOND,2,2,13,2,2,13,False
QUINOLINE_REGIOISOMER_B,151,HYDROPHOBIC_CONTACT,7,5,13,7,5,13,False
QUINOLINE_REGIOISOMER_B,153,HYDROPHOBIC_CONTACT,4,3,13,4,3,13,False
QUINOLINE_REGIOISOMER_B,196,HYDROGEN_BOND,1,1,13,1,1,13,False
QUINOLINE_REGIOISOMER_B,196,HYDROPHOBIC_CONTACT,6,5,13,6,5,13,False
QUINOLINE_REGIOISOMER_B,196,PI_CATION,1,1,13,1,1,13,False
QUINOLINE_REGIOISOMER_B,206,HYDROPHOBIC_CONTACT,9,8,13,9,8,13,False
QUINOLINE_REGIOISOMER_B,206,PI_CATION,4,4,13,4,4,13,False
QUINOLINE_REGIOISOMER_B,207,HYDROGEN_BOND,2,2,13,2,2,13,False
QUINOLINE_REGIOISOMER_B,207,HYDROPHOBIC_CONTACT,6,5,13,6,5,13,False
QUINOLINE_REGIOISOMER_B,29,HYDROGEN_BOND,1,1,13,1,1,13,False
QUINOLINE_REGIOISOMER_B,33,HYDROGEN_BOND,2,2,13,2,2,13,False
QUINOLINE_REGIOISOMER_B,99,HYDROPHOBIC_CONTACT,3,3,13,3,3,13,False
