cell_id,phi_degrees,psi_degrees,spatial_partition,stage_a_cell
PHI-150_PSI-030,-150,-30,TRAIN,True
PHI-150_PSI-015,-150,-15,TRAIN,False
PHI-150_PSI+000,-150,0,TEST,True
PHI-150_PSI+015,-150,15,TEST,False
PHI-150_PSI+030,-150,30,TEST,True
PHI-150_PSI+045,-150,45,TEST,False
PHI-150_PSI+060,-150,60,TRAIN,True
PHI-150_PSI+075,-150,75,TRAIN,False
PHI-150_PSI+090,-150,90,TRAIN,True
PHI-150_PSI+105,-150,105,TRAIN,False
PHI-150_PSI+120,-150,120,TRAIN,True
PHI-150_PSI+135,-150,135,TRAIN,False
PHI-150_PSI+150,-150,150,TRAIN,True
PHI-150_PSI+165,-150,165,TRAIN,False
PHI-135_PSI-180,-135,-180,TEST,False
PHI-135_PSI-165,-135,-165,TEST,False
PHI-135_PSI-150,-135,-150,TEST,False
PHI-135_PSI-135,-135,-135,TEST,False
PHI-135_PSI-120,-135,-120,TRAIN,False
PHI-135_PSI-105,-135,-105,TRAIN,False
PHI-135_PSI-090,-135,-90,TRAIN,False
PHI-135_PSI-075,-135,-75,TRAIN,False
PHI-135_PSI-060,-135,-60,TRAIN,False
PHI-135_PSI-045,-135,-45,TRAIN,False
PHI-135_PSI-030,-135,-30,TRAIN,False
PHI-135_PSI-015,-135,-15,TRAIN,False
PHI-135_PSI+000,-135,0,TEST,False
PHI-135_PSI+015,-135,15,TEST,False
PHI-135_PSI+030,-135,30,TEST,False
PHI-135_PSI+045,-135,45,TEST,False
PHI-135_PSI+060,-135,60,TRAIN,False
PHI-135_PSI+075,-135,75,TRAIN,False
PHI-135_PSI+090,-135,90,TRAIN,False
PHI-135_PSI+105,-135,105,TRAIN,False
PHI-135_PSI+120,-135,120,TRAIN,False
PHI-135_PSI+135,-135,135,TRAIN,False
PHI-135_PSI+150,-135,150,TRAIN,False
PHI-135_PSI+165,-135,165,TRAIN,False
PHI-120_PSI-180,-120,-180,TRAIN,True
PHI-120_PSI-165,-120,-165,TRAIN,False
PHI-120_PSI-150,-120,-150,TRAIN,True
PHI-120_PSI-135,-120,-135,TRAIN,False
PHI-120_PSI-120,-120,-120,VALIDATION,True
PHI-120_PSI-105,-120,-105,VALIDATION,False
PHI-120_PSI-090,-120,-90,VALIDATION,True
PHI-120_PSI-075,-120,-75,VALIDATION,False
PHI-120_PSI-060,-120,-60,TRAIN,True
PHI-120_PSI-045,-120,-45,TRAIN,False
PHI-120_PSI-030,-120,-30,TRAIN,True
PHI-120_PSI-015,-120,-15,TRAIN,False
PHI-120_PSI+000,-120,0,TRAIN,True
PHI-120_PSI+015,-120,15,TRAIN,False
PHI-120_PSI+030,-120,30,TRAIN,True
PHI-120_PSI+045,-120,45,TRAIN,False
PHI-120_PSI+060,-120,60,VALIDATION,True
PHI-120_PSI+075,-120,75,VALIDATION,False
PHI-120_PSI+090,-120,90,VALIDATION,True
PHI-120_PSI+105,-120,105,VALIDATION,False
PHI-120_PSI+120,-120,120,TRAIN,True
PHI-120_PSI+135,-120,135,TRAIN,False
PHI-120_PSI+150,-120,150,TRAIN,True
PHI-120_PSI+165,-120,165,TRAIN,False
PHI-105_PSI-180,-105,-180,TRAIN,False
PHI-105_PSI-165,-105,-165,TRAIN,False
PHI-105_PSI-150,-105,-150,TRAIN,False
PHI-105_PSI-135,-105,-135,TRAIN,False
PHI-105_PSI-120,-105,-120,VALIDATION,False
PHI-105_PSI-105,-105,-105,VALIDATION,False
PHI-105_PSI-090,-105,-90,VALIDATION,False
PHI-105_PSI-075,-105,-75,VALIDATION,False
PHI-105_PSI-060,-105,-60,TRAIN,False
PHI-105_PSI-045,-105,-45,TRAIN,False
PHI-105_PSI-030,-105,-30,TRAIN,False
PHI-105_PSI-015,-105,-15,TRAIN,False
PHI-105_PSI+000,-105,0,TRAIN,False
PHI-105_PSI+015,-105,15,TRAIN,False
PHI-105_PSI+030,-105,30,TRAIN,False
PHI-105_PSI+045,-105,45,TRAIN,False
PHI-105_PSI+060,-105,60,VALIDATION,False
PHI-105_PSI+075,-105,75,VALIDATION,False
PHI-105_PSI+090,-105,90,VALIDATION,False
PHI-105_PSI+105,-105,105,VALIDATION,False
PHI-105_PSI+120,-105,120,TRAIN,False
PHI-105_PSI+135,-105,135,TRAIN,False
PHI-105_PSI+150,-105,150,TRAIN,False
PHI-105_PSI+165,-105,165,TRAIN,False
PHI-090_PSI-180,-90,-180,TRAIN,True
PHI-090_PSI-165,-90,-165,TRAIN,False
PHI-090_PSI-150,-90,-150,TRAIN,True
PHI-090_PSI-135,-90,-135,TRAIN,False
PHI-090_PSI-120,-90,-120,VALIDATION,True
PHI-090_PSI-105,-90,-105,VALIDATION,False
PHI-090_PSI-090,-90,-90,VALIDATION,True
PHI-090_PSI-075,-90,-75,VALIDATION,False
PHI-090_PSI-060,-90,-60,TRAIN,True
PHI-090_PSI-045,-90,-45,TRAIN,False
PHI-090_PSI-030,-90,-30,TRAIN,True
PHI-090_PSI-015,-90,-15,TRAIN,False
PHI-090_PSI+000,-90,0,TRAIN,True
PHI-090_PSI+015,-90,15,TRAIN,False
PHI-090_PSI+030,-90,30,TRAIN,True
PHI-090_PSI+045,-90,45,TRAIN,False
PHI-090_PSI+060,-90,60,VALIDATION,True
PHI-090_PSI+075,-90,75,VALIDATION,False
PHI-090_PSI+090,-90,90,VALIDATION,True
PHI-090_PSI+105,-90,105,VALIDATION,False
PHI-090_PSI+120,-90,120,TRAIN,True
PHI-090_PSI+135,-90,135,TRAIN,False
PHI-090_PSI+150,-90,150,TRAIN,True
PHI-090_PSI+165,-90,165,TRAIN,False
PHI-075_PSI-180,-75,-180,TRAIN,False
PHI-075_PSI-165,-75,-165,TRAIN,False
PHI-075_PSI-150,-75,-150,TRAIN,False
PHI-075_PSI-135,-75,-135,TRAIN,False
PHI-075_PSI-120,-75,-120,VALIDATION,False
PHI-075_PSI-105,-75,-105,VALIDATION,False
PHI-075_PSI-090,-75,-90,VALIDATION,False
PHI-075_PSI-075,-75,-75,VALIDATION,False
PHI-075_PSI-060,-75,-60,TRAIN,False
PHI-075_PSI-045,-75,-45,TRAIN,False
PHI-075_PSI-030,-75,-30,TRAIN,False
PHI-075_PSI-015,-75,-15,TRAIN,False
PHI-075_PSI+000,-75,0,TRAIN,False
PHI-075_PSI+015,-75,15,TRAIN,False
PHI-075_PSI+030,-75,30,TRAIN,False
PHI-075_PSI+045,-75,45,TRAIN,False
PHI-075_PSI+060,-75,60,VALIDATION,False
PHI-075_PSI+075,-75,75,VALIDATION,False
PHI-075_PSI+090,-75,90,VALIDATION,False
PHI-075_PSI+105,-75,105,VALIDATION,False
PHI-075_PSI+120,-75,120,TRAIN,False
PHI-075_PSI+135,-75,135,TRAIN,False
PHI-075_PSI+150,-75,150,TRAIN,False
PHI-075_PSI+165,-75,165,TRAIN,False
PHI-060_PSI-180,-60,-180,TRAIN,True
PHI-060_PSI-165,-60,-165,TRAIN,False
PHI-060_PSI-150,-60,-150,TRAIN,True
PHI-060_PSI-135,-60,-135,TRAIN,False
PHI-060_PSI-120,-60,-120,TRAIN,True
PHI-060_PSI-105,-60,-105,TRAIN,False
PHI-060_PSI-090,-60,-90,TRAIN,True
PHI-060_PSI-075,-60,-75,TRAIN,False
PHI-060_PSI-060,-60,-60,TEST,True
PHI-060_PSI-045,-60,-45,TEST,False
PHI-060_PSI-030,-60,-30,TEST,True
PHI-060_PSI-015,-60,-15,TEST,False
PHI-060_PSI+000,-60,0,TRAIN,True
PHI-060_PSI+015,-60,15,TRAIN,False
PHI-060_PSI+030,-60,30,TRAIN,True
PHI-060_PSI+045,-60,45,TRAIN,False
PHI-060_PSI+060,-60,60,TRAIN,True
PHI-060_PSI+075,-60,75,TRAIN,False
PHI-060_PSI+090,-60,90,TRAIN,True
PHI-060_PSI+105,-60,105,TRAIN,False
PHI-060_PSI+120,-60,120,TEST,True
PHI-060_PSI+135,-60,135,TEST,False
PHI-060_PSI+150,-60,150,TEST,True
PHI-060_PSI+165,-60,165,TEST,False
PHI-045_PSI-180,-45,-180,TRAIN,False
PHI-045_PSI-165,-45,-165,TRAIN,False
PHI-045_PSI-150,-45,-150,TRAIN,False
PHI-045_PSI-135,-45,-135,TRAIN,False
PHI-045_PSI-120,-45,-120,TRAIN,False
PHI-045_PSI-105,-45,-105,TRAIN,False
PHI-045_PSI-090,-45,-90,TRAIN,False
PHI-045_PSI-075,-45,-75,TRAIN,False
PHI-045_PSI-060,-45,-60,TEST,False
PHI-045_PSI-045,-45,-45,TEST,False
PHI-045_PSI-030,-45,-30,TEST,False
PHI-045_PSI-015,-45,-15,TEST,False
PHI-045_PSI+000,-45,0,TRAIN,False
PHI-045_PSI+015,-45,15,TRAIN,False
PHI-045_PSI+030,-45,30,TRAIN,False
PHI-045_PSI+045,-45,45,TRAIN,False
PHI-045_PSI+060,-45,60,TRAIN,False
PHI-045_PSI+075,-45,75,TRAIN,False
PHI-045_PSI+090,-45,90,TRAIN,False
PHI-045_PSI+105,-45,105,TRAIN,False
PHI-045_PSI+120,-45,120,TEST,False
PHI-045_PSI+135,-45,135,TEST,False
PHI-045_PSI+150,-45,150,TEST,False
PHI-045_PSI+165,-45,165,TEST,False
PHI-030_PSI-180,-30,-180,TRAIN,True
PHI-030_PSI-165,-30,-165,TRAIN,False
PHI-030_PSI-150,-30,-150,TRAIN,True
PHI-030_PSI-135,-30,-135,TRAIN,False
PHI-030_PSI-120,-30,-120,TRAIN,True
PHI-030_PSI-105,-30,-105,TRAIN,False
PHI-030_PSI-090,-30,-90,TRAIN,True
PHI-030_PSI-075,-30,-75,TRAIN,False
PHI-030_PSI-060,-30,-60,TEST,True
PHI-030_PSI-045,-30,-45,TEST,False
PHI-030_PSI-030,-30,-30,TEST,True
PHI-030_PSI-015,-30,-15,TEST,False
PHI-030_PSI+000,-30,0,TRAIN,True
PHI-030_PSI+015,-30,15,TRAIN,False
PHI-030_PSI+030,-30,30,TRAIN,True
PHI-030_PSI+045,-30,45,TRAIN,False
PHI-030_PSI+060,-30,60,TRAIN,True
PHI-030_PSI+075,-30,75,TRAIN,False
PHI-030_PSI+090,-30,90,TRAIN,True
PHI-030_PSI+105,-30,105,TRAIN,False
PHI-030_PSI+120,-30,120,TEST,True
PHI-030_PSI+135,-30,135,TEST,False
PHI-030_PSI+150,-30,150,TEST,True
PHI-030_PSI+165,-30,165,TEST,False
PHI-015_PSI-180,-15,-180,TRAIN,False
PHI-015_PSI-165,-15,-165,TRAIN,False
PHI-015_PSI-150,-15,-150,TRAIN,False
PHI-015_PSI-135,-15,-135,TRAIN,False
PHI-015_PSI-120,-15,-120,TRAIN,False
PHI-015_PSI-105,-15,-105,TRAIN,False
PHI-015_PSI-090,-15,-90,TRAIN,False
PHI-015_PSI-075,-15,-75,TRAIN,False
PHI-015_PSI-060,-15,-60,TEST,False
PHI-015_PSI-045,-15,-45,TEST,False
PHI-015_PSI-030,-15,-30,TEST,False
PHI-015_PSI-015,-15,-15,TEST,False
PHI-015_PSI+000,-15,0,TRAIN,False
PHI-015_PSI+015,-15,15,TRAIN,False
PHI-015_PSI+030,-15,30,TRAIN,False
PHI-015_PSI+045,-15,45,TRAIN,False
PHI-015_PSI+060,-15,60,TRAIN,False
PHI-015_PSI+075,-15,75,TRAIN,False
PHI-015_PSI+090,-15,90,TRAIN,False
PHI-015_PSI+105,-15,105,TRAIN,False
PHI-015_PSI+120,-15,120,TEST,False
PHI-015_PSI+135,-15,135,TEST,False
PHI-015_PSI+150,-15,150,TEST,False
PHI-015_PSI+165,-15,165,TEST,False
PHI+000_PSI-180,0,-180,VALIDATION,True
PHI+000_PSI-165,0,-165,VALIDATION,False
PHI+000_PSI-150,0,-150,VALIDATION,True
PHI+000_PSI-135,0,-135,VALIDATION,False
PHI+000_PSI-120,0,-120,TRAIN,True
PHI+000_PSI-105,0,-105,TRAIN,False
PHI+000_PSI-090,0,-90,TRAIN,True
PHI+000_PSI-075,0,-75,TRAIN,False
PHI+000_PSI-060,0,-60,TRAIN,True
PHI+000_PSI-045,0,-45,TRAIN,False
PHI+000_PSI-030,0,-30,TRAIN,True
PHI+000_PSI-015,0,-15,TRAIN,False
PHI+000_PSI+000,0,0,VALIDATION,True
PHI+000_PSI+015,0,15,VALIDATION,False
PHI+000_PSI+030,0,30,VALIDATION,True
PHI+000_PSI+045,0,45,VALIDATION,False
PHI+000_PSI+060,0,60,TRAIN,True
PHI+000_PSI+075,0,75,TRAIN,False
PHI+000_PSI+090,0,90,TRAIN,True
PHI+000_PSI+105,0,105,TRAIN,False
PHI+000_PSI+120,0,120,TRAIN,True
PHI+000_PSI+135,0,135,TRAIN,False
PHI+000_PSI+150,0,150,TRAIN,True
PHI+000_PSI+165,0,165,TRAIN,False
PHI+015_PSI-180,15,-180,VALIDATION,False
PHI+015_PSI-165,15,-165,VALIDATION,False
PHI+015_PSI-150,15,-150,VALIDATION,False
PHI+015_PSI-135,15,-135,VALIDATION,False
PHI+015_PSI-120,15,-120,TRAIN,False
PHI+015_PSI-105,15,-105,TRAIN,False
PHI+015_PSI-090,15,-90,TRAIN,False
PHI+015_PSI-075,15,-75,TRAIN,False
PHI+015_PSI-060,15,-60,TRAIN,False
PHI+015_PSI-045,15,-45,TRAIN,False
PHI+015_PSI-030,15,-30,TRAIN,False
PHI+015_PSI-015,15,-15,TRAIN,False
PHI+015_PSI+000,15,0,VALIDATION,False
PHI+015_PSI+015,15,15,VALIDATION,False
PHI+015_PSI+030,15,30,VALIDATION,False
PHI+015_PSI+045,15,45,VALIDATION,False
PHI+015_PSI+060,15,60,TRAIN,False
PHI+015_PSI+075,15,75,TRAIN,False
PHI+015_PSI+090,15,90,TRAIN,False
PHI+015_PSI+105,15,105,TRAIN,False
PHI+015_PSI+120,15,120,TRAIN,False
PHI+015_PSI+135,15,135,TRAIN,False
PHI+015_PSI+150,15,150,TRAIN,False
PHI+015_PSI+165,15,165,TRAIN,False
PHI+030_PSI-180,30,-180,VALIDATION,True
PHI+030_PSI-165,30,-165,VALIDATION,False
PHI+030_PSI-150,30,-150,VALIDATION,True
PHI+030_PSI-135,30,-135,VALIDATION,False
PHI+030_PSI-120,30,-120,TRAIN,True
PHI+030_PSI-105,30,-105,TRAIN,False
PHI+030_PSI-090,30,-90,TRAIN,True
PHI+030_PSI-075,30,-75,TRAIN,False
PHI+030_PSI-060,30,-60,TRAIN,True
PHI+030_PSI-045,30,-45,TRAIN,False
PHI+030_PSI-030,30,-30,TRAIN,True
PHI+030_PSI-015,30,-15,TRAIN,False
PHI+030_PSI+000,30,0,VALIDATION,True
PHI+030_PSI+015,30,15,VALIDATION,False
PHI+030_PSI+030,30,30,VALIDATION,True
PHI+030_PSI+045,30,45,VALIDATION,False
PHI+030_PSI+060,30,60,TRAIN,True
PHI+030_PSI+075,30,75,TRAIN,False
PHI+030_PSI+090,30,90,TRAIN,True
PHI+030_PSI+105,30,105,TRAIN,False
PHI+030_PSI+120,30,120,TRAIN,True
PHI+030_PSI+135,30,135,TRAIN,False
PHI+030_PSI+150,30,150,TRAIN,True
PHI+030_PSI+165,30,165,TRAIN,False
PHI+045_PSI-180,45,-180,VALIDATION,False
PHI+045_PSI-165,45,-165,VALIDATION,False
PHI+045_PSI-150,45,-150,VALIDATION,False
PHI+045_PSI-135,45,-135,VALIDATION,False
PHI+045_PSI-120,45,-120,TRAIN,False
PHI+045_PSI-105,45,-105,TRAIN,False
PHI+045_PSI-090,45,-90,TRAIN,False
PHI+045_PSI-075,45,-75,TRAIN,False
PHI+045_PSI-060,45,-60,TRAIN,False
PHI+045_PSI-045,45,-45,TRAIN,False
PHI+045_PSI-030,45,-30,TRAIN,False
PHI+045_PSI-015,45,-15,TRAIN,False
PHI+045_PSI+000,45,0,VALIDATION,False
PHI+045_PSI+015,45,15,VALIDATION,False
PHI+045_PSI+030,45,30,VALIDATION,False
PHI+045_PSI+045,45,45,VALIDATION,False
PHI+045_PSI+060,45,60,TRAIN,False
PHI+045_PSI+075,45,75,TRAIN,False
PHI+045_PSI+090,45,90,TRAIN,False
PHI+045_PSI+105,45,105,TRAIN,False
PHI+045_PSI+120,45,120,TRAIN,False
PHI+045_PSI+135,45,135,TRAIN,False
PHI+045_PSI+150,45,150,TRAIN,False
PHI+045_PSI+165,45,165,TRAIN,False
PHI+060_PSI-180,60,-180,TRAIN,True
PHI+060_PSI-165,60,-165,TRAIN,False
PHI+060_PSI-150,60,-150,TRAIN,True
PHI+060_PSI-135,60,-135,TRAIN,False
PHI+060_PSI-120,60,-120,TEST,True
PHI+060_PSI-105,60,-105,TEST,False
PHI+060_PSI-090,60,-90,TEST,True
PHI+060_PSI-075,60,-75,TEST,False
PHI+060_PSI-060,60,-60,TRAIN,True
PHI+060_PSI-045,60,-45,TRAIN,False
PHI+060_PSI-030,60,-30,TRAIN,True
PHI+060_PSI-015,60,-15,TRAIN,False
PHI+060_PSI+000,60,0,TRAIN,True
PHI+060_PSI+015,60,15,TRAIN,False
PHI+060_PSI+030,60,30,TRAIN,True
PHI+060_PSI+045,60,45,TRAIN,False
PHI+060_PSI+060,60,60,TEST,True
PHI+060_PSI+075,60,75,TEST,False
PHI+060_PSI+090,60,90,TEST,True
PHI+060_PSI+105,60,105,TEST,False
PHI+060_PSI+120,60,120,TRAIN,True
PHI+060_PSI+135,60,135,TRAIN,False
PHI+060_PSI+150,60,150,TRAIN,True
PHI+060_PSI+165,60,165,TRAIN,False
PHI+075_PSI-180,75,-180,TRAIN,False
PHI+075_PSI-165,75,-165,TRAIN,False
PHI+075_PSI-150,75,-150,TRAIN,False
PHI+075_PSI-135,75,-135,TRAIN,False
PHI+075_PSI-120,75,-120,TEST,False
PHI+075_PSI-105,75,-105,TEST,False
PHI+075_PSI-090,75,-90,TEST,False
PHI+075_PSI-075,75,-75,TEST,False
PHI+075_PSI-060,75,-60,TRAIN,False
PHI+075_PSI-045,75,-45,TRAIN,False
PHI+075_PSI-030,75,-30,TRAIN,False
PHI+075_PSI-015,75,-15,TRAIN,False
PHI+075_PSI+000,75,0,TRAIN,False
PHI+075_PSI+015,75,15,TRAIN,False
PHI+075_PSI+030,75,30,TRAIN,False
PHI+075_PSI+045,75,45,TRAIN,False
PHI+075_PSI+060,75,60,TEST,False
PHI+075_PSI+075,75,75,TEST,False
PHI+075_PSI+090,75,90,TEST,False
PHI+075_PSI+105,75,105,TEST,False
PHI+075_PSI+120,75,120,TRAIN,False
PHI+075_PSI+135,75,135,TRAIN,False
PHI+075_PSI+150,75,150,TRAIN,False
PHI+075_PSI+165,75,165,TRAIN,False
PHI+090_PSI-180,90,-180,TRAIN,True
PHI+090_PSI-165,90,-165,TRAIN,False
PHI+090_PSI-150,90,-150,TRAIN,True
PHI+090_PSI-135,90,-135,TRAIN,False
PHI+090_PSI-120,90,-120,TEST,True
PHI+090_PSI-105,90,-105,TEST,False
PHI+090_PSI-090,90,-90,TEST,True
PHI+090_PSI-075,90,-75,TEST,False
PHI+090_PSI-060,90,-60,TRAIN,True
PHI+090_PSI-045,90,-45,TRAIN,False
PHI+090_PSI-030,90,-30,TRAIN,True
PHI+090_PSI-015,90,-15,TRAIN,False
PHI+090_PSI+000,90,0,TRAIN,True
PHI+090_PSI+015,90,15,TRAIN,False
PHI+090_PSI+030,90,30,TRAIN,True
PHI+090_PSI+045,90,45,TRAIN,False
PHI+090_PSI+060,90,60,TEST,True
PHI+090_PSI+075,90,75,TEST,False
PHI+090_PSI+090,90,90,TEST,True
PHI+090_PSI+105,90,105,TEST,False
PHI+090_PSI+120,90,120,TRAIN,True
PHI+090_PSI+135,90,135,TRAIN,False
PHI+090_PSI+150,90,150,TRAIN,True
PHI+090_PSI+165,90,165,TRAIN,False
PHI+105_PSI-180,105,-180,TRAIN,False
PHI+105_PSI-165,105,-165,TRAIN,False
PHI+105_PSI-150,105,-150,TRAIN,False
PHI+105_PSI-135,105,-135,TRAIN,False
PHI+105_PSI-120,105,-120,TEST,False
PHI+105_PSI-105,105,-105,TEST,False
PHI+105_PSI-090,105,-90,TEST,False
PHI+105_PSI-075,105,-75,TEST,False
PHI+105_PSI-060,105,-60,TRAIN,False
PHI+105_PSI-045,105,-45,TRAIN,False
PHI+105_PSI-030,105,-30,TRAIN,False
PHI+105_PSI-015,105,-15,TRAIN,False
PHI+105_PSI+000,105,0,TRAIN,False
PHI+105_PSI+015,105,15,TRAIN,False
PHI+105_PSI+030,105,30,TRAIN,False
PHI+105_PSI+045,105,45,TRAIN,False
PHI+105_PSI+060,105,60,TEST,False
PHI+105_PSI+075,105,75,TEST,False
PHI+105_PSI+090,105,90,TEST,False
PHI+105_PSI+105,105,105,TEST,False
PHI+105_PSI+120,105,120,TRAIN,False
PHI+105_PSI+135,105,135,TRAIN,False
PHI+105_PSI+150,105,150,TRAIN,False
PHI+105_PSI+165,105,165,TRAIN,False
PHI+120_PSI-180,120,-180,TRAIN,True
PHI+120_PSI-165,120,-165,TRAIN,False
PHI+120_PSI-150,120,-150,TRAIN,True
PHI+120_PSI-135,120,-135,TRAIN,False
PHI+120_PSI-120,120,-120,TRAIN,True
PHI+120_PSI-105,120,-105,TRAIN,False
PHI+120_PSI-090,120,-90,TRAIN,True
PHI+120_PSI-075,120,-75,TRAIN,False
PHI+120_PSI-060,120,-60,VALIDATION,True
PHI+120_PSI-045,120,-45,VALIDATION,False
PHI+120_PSI-030,120,-30,VALIDATION,True
PHI+120_PSI-015,120,-15,VALIDATION,False
PHI+120_PSI+000,120,0,TRAIN,True
PHI+120_PSI+015,120,15,TRAIN,False
PHI+120_PSI+030,120,30,TRAIN,True
PHI+120_PSI+045,120,45,TRAIN,False
PHI+120_PSI+060,120,60,TRAIN,True
PHI+120_PSI+075,120,75,TRAIN,False
PHI+120_PSI+090,120,90,TRAIN,True
PHI+120_PSI+105,120,105,TRAIN,False
PHI+120_PSI+120,120,120,VALIDATION,True
PHI+120_PSI+135,120,135,VALIDATION,False
PHI+120_PSI+150,120,150,VALIDATION,True
PHI+120_PSI+165,120,165,VALIDATION,False
PHI+135_PSI-180,135,-180,TRAIN,False
PHI+135_PSI-165,135,-165,TRAIN,False
PHI+135_PSI-150,135,-150,TRAIN,False
PHI+135_PSI-135,135,-135,TRAIN,False
PHI+135_PSI-120,135,-120,TRAIN,False
PHI+135_PSI-105,135,-105,TRAIN,False
PHI+135_PSI-090,135,-90,TRAIN,False
PHI+135_PSI-075,135,-75,TRAIN,False
PHI+135_PSI-060,135,-60,VALIDATION,False
PHI+135_PSI-045,135,-45,VALIDATION,False
PHI+135_PSI-030,135,-30,VALIDATION,False
PHI+135_PSI-015,135,-15,VALIDATION,False
PHI+135_PSI+000,135,0,TRAIN,False
PHI+135_PSI+015,135,15,TRAIN,False
PHI+135_PSI+030,135,30,TRAIN,False
PHI+135_PSI+045,135,45,TRAIN,False
PHI+135_PSI+060,135,60,TRAIN,False
PHI+135_PSI+075,135,75,TRAIN,False
PHI+135_PSI+090,135,90,TRAIN,False
PHI+135_PSI+105,135,105,TRAIN,False
PHI+135_PSI+120,135,120,VALIDATION,False
PHI+135_PSI+135,135,135,VALIDATION,False
PHI+135_PSI+150,135,150,VALIDATION,False
PHI+135_PSI+165,135,165,VALIDATION,False
PHI+150_PSI-180,150,-180,TRAIN,True
PHI+150_PSI-165,150,-165,TRAIN,False
PHI+150_PSI-150,150,-150,TRAIN,True
PHI+150_PSI-135,150,-135,TRAIN,False
PHI+150_PSI-120,150,-120,TRAIN,True
PHI+150_PSI-105,150,-105,TRAIN,False
PHI+150_PSI-090,150,-90,TRAIN,True
PHI+150_PSI-075,150,-75,TRAIN,False
PHI+150_PSI-060,150,-60,VALIDATION,True
PHI+150_PSI-045,150,-45,VALIDATION,False
PHI+150_PSI-030,150,-30,VALIDATION,True
PHI+150_PSI-015,150,-15,VALIDATION,False
PHI+150_PSI+000,150,0,TRAIN,True
PHI+150_PSI+015,150,15,TRAIN,False
PHI+150_PSI+030,150,30,TRAIN,True
PHI+150_PSI+045,150,45,TRAIN,False
PHI+150_PSI+060,150,60,TRAIN,True
PHI+150_PSI+075,150,75,TRAIN,False
PHI+150_PSI+090,150,90,TRAIN,True
PHI+150_PSI+105,150,105,TRAIN,False
PHI+150_PSI+120,150,120,VALIDATION,True
PHI+150_PSI+135,150,135,VALIDATION,False
PHI+150_PSI+150,150,150,VALIDATION,True
PHI+150_PSI+165,150,165,VALIDATION,False
PHI+165_PSI-180,165,-180,TRAIN,False
PHI+165_PSI-165,165,-165,TRAIN,False
PHI+165_PSI-150,165,-150,TRAIN,False
PHI+165_PSI-135,165,-135,TRAIN,False
PHI+165_PSI-120,165,-120,TRAIN,False
PHI+165_PSI-105,165,-105,TRAIN,False
PHI+165_PSI-090,165,-90,TRAIN,False
PHI+165_PSI-075,165,-75,TRAIN,False
