compound,exact_identity_or_speciation,paralog,classification,concentration,SAM,pH,protein_preparation,time,readout,controls,assay_sensitivity_or_detection_limit,source,exact_location,caveat
KD5170 active thiol,"cell-active thiol form; exact reduction/speciation in cells NOT_REPORTED",METTL7A,AMBIGUOUS,"GI50 series; exact values in supplementary table","endogenous","cell culture; NOT_REPORTED","C-terminal FLAG METTL7A overexpression in HEK293","3 days","cell viability/resistance","empty-vector cells; non-thiol HDAC inhibitor controls","NOT_APPLICABLE",SRC-002,"Robey 2024 Fig 2 and supplementary GI50 tables","Cellular resistance is not direct methyl-product evidence"
KD5170 active thiol,"cell-active thiol form; exact reduction/speciation in cells NOT_REPORTED",METTL7B,AMBIGUOUS,"GI50 series; exact values in supplementary table","endogenous","cell culture; NOT_REPORTED","C-terminal FLAG METTL7B overexpression in HEK293","3 days","cell viability/resistance","empty-vector cells; non-thiol HDAC inhibitor controls","NOT_APPLICABLE",SRC-002,"Robey 2024 Fig 2 and supplementary GI50 tables","Weaker phenotype than A; no purified-substrate methylation assay"
reduced romidepsin,"romidepsin reduced with 10 mM TCEP; estimated final approximately 500 uM",METTL7A,DIRECT_POSITIVE,"approximately 500 uM","500 uM","7.0 KPi","purified N-GST-METTL7A; DMPG reconstituted; 0.06 mg/mL","2 h at 37 C","LC-MS direct monomethylated romidepsin","vehicle/no-SAM and boiled enzyme","NOT_REPORTED",SRC-002,"Robey 2024 Fig 5B; in-vitro methylation Methods","Methylated sulfur not assigned; estimated concentration"
reduced romidepsin,"romidepsin reduced with 10 mM TCEP; estimated final approximately 500 uM",METTL7B,DIRECT_POSITIVE,"approximately 500 uM","500 uM","7.0 KPi","purified N-GST-METTL7B; DMPG reconstituted; 0.06 mg/mL","2 h at 37 C","LC-MS direct monomethylated romidepsin","vehicle/no-SAM and boiled enzyme","NOT_REPORTED",SRC-002,"Robey 2024 Fig 5B; in-vitro methylation Methods","Trace/no product in controls; methylated sulfur not assigned"
cysteine,L-cysteine,METTL7A,NO_ACTIVITY_DETECTED_UNDER_REPORTED_CONDITIONS,"1 mM","100 uM","7.0","purified N-GST-METTL7A; DMPG reconstituted; 0.07 mg/mL","1 h","MTase-Glo SAH/byproduct luminescence","active-minus-boiled and no-substrate baseline","NOT_REPORTED",SRC-001,"Fig 5; Methods p 15; Results p 24","Condition-specific negative; no direct cysteine-product assay"
cysteine,L-cysteine,METTL7B,NO_ACTIVITY_DETECTED_UNDER_REPORTED_CONDITIONS,"1 mM","50 uM","7.0","purified N-His-GST-METTL7B; DMPG reconstituted","1 h","MTase-Glo SAH/byproduct luminescence","buffer and boiled-enzyme subtraction","NOT_REPORTED",SRC-007,"Table 1; Fig 7; Methods p 12","Condition-specific negative; no detection limit"
glutathione,reduced glutathione,METTL7A,NO_ACTIVITY_DETECTED_UNDER_REPORTED_CONDITIONS,"1 mM","100 uM","7.0","purified N-GST-METTL7A; DMPG reconstituted; 0.07 mg/mL","1 h","MTase-Glo SAH/byproduct luminescence","active-minus-boiled and no-substrate baseline","NOT_REPORTED",SRC-001,"Fig 5; Methods p 15; Results p 24","GST-tag sequestration caveat; not a universal nonsubstrate"
glutathione,reduced glutathione,METTL7B,NO_ACTIVITY_DETECTED_UNDER_REPORTED_CONDITIONS,"1 mM","50 uM","7.0","purified N-His-GST-METTL7B; DMPG reconstituted; GST tag retained","1 h","MTase-Glo SAH/byproduct luminescence","buffer and boiled-enzyme subtraction","NOT_REPORTED",SRC-007,"Table 1; Methods p 12","Authors explicitly note GST binding/sequestration and request non-GST confirmation"
6-mercaptopurine,"thiol/thione tautomeric heteroaryl compound",METTL7A,NOT_TESTED,"NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_APPLICABLE","NOT_APPLICABLE","UNRESOLVED","EXACT_LOCATION = UNRESOLVED","Inherited computational/limited entry is not biochemical evidence"
6-mercaptopurine,"thiol/thione tautomeric heteroaryl compound",METTL7B,NOT_TESTED,"NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_APPLICABLE","NOT_APPLICABLE","UNRESOLVED","EXACT_LOCATION = UNRESOLVED","Inherited computational/limited entry is not biochemical evidence"
largazole,"thiol HDAC inhibitor/prodrug context; exact active-thiol exposure NOT_REPORTED",METTL7A,AMBIGUOUS,"GI50 series","endogenous","cell culture; NOT_REPORTED","C-terminal FLAG overexpression in HEK293","3 days","cellular viability/resistance","empty vector and non-thiol inhibitor controls","NOT_APPLICABLE",SRC-002,"Robey 2024 Fig 2 and supplementary GI50 tables","No purified-substrate or direct methyl-product test"
largazole,"thiol HDAC inhibitor/prodrug context; exact active-thiol exposure NOT_REPORTED",METTL7B,AMBIGUOUS,"GI50 series","endogenous","cell culture; NOT_REPORTED","C-terminal FLAG overexpression in HEK293","3 days","cellular viability/resistance","empty vector and non-thiol inhibitor controls","NOT_APPLICABLE",SRC-002,"Robey 2024 Fig 2 and supplementary GI50 tables","Weaker/minimal resistance; no purified-substrate test"
OKI-005,"thiol HDAC inhibitor; exact speciation NOT_REPORTED",METTL7A,AMBIGUOUS,"GI50 series","endogenous","cell culture; NOT_REPORTED","C-terminal FLAG overexpression in HEK293","3 days","cellular viability/resistance","empty vector and non-thiol inhibitor controls","NOT_APPLICABLE",SRC-002,"Robey 2024 Fig 2 and supplementary GI50 tables","No purified-substrate or direct methyl-product test"
OKI-005,"thiol HDAC inhibitor; exact speciation NOT_REPORTED",METTL7B,AMBIGUOUS,"GI50 series","endogenous","cell culture; NOT_REPORTED","C-terminal FLAG overexpression in HEK293","3 days","cellular viability/resistance","empty vector and non-thiol inhibitor controls","NOT_APPLICABLE",SRC-002,"Robey 2024 Fig 2 and supplementary GI50 tables","No purified-substrate or direct methyl-product test"
NCH-51,"thiol HDAC inhibitor; exact speciation NOT_REPORTED",METTL7A,AMBIGUOUS,"GI50 series; 25 uM for 24 h cell-cycle assay","endogenous","cell culture; NOT_REPORTED","C-terminal FLAG overexpression in HEK293","3 days or 24 h by endpoint","cellular viability/resistance and cell cycle","empty vector; non-thiol belinostat; 100 uM DCMB reversal","NOT_APPLICABLE",SRC-008,"Hegedus 2024 Figs 2A-B and 3; Methods: growth inhibition and cell-cycle analysis","Conserved cellular resistance; no purified-substrate methylation assay"
NCH-51,"thiol HDAC inhibitor; exact speciation NOT_REPORTED",METTL7B,NOT_TESTED,"NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_APPLICABLE","NOT_APPLICABLE",SRC-008,"Study tests TMT1A orthologs only","No B experiment in conservation paper"
