Capability,Existing?,Module,Class/function,Path,Language,Reusable?,Tested?,Notes
Angle (vector),FULL,gaia,Vector3D.angle,software/modules/gaia/src/main/java/totah/lab/gaia/geometry/Vector3D.java,Java,Yes,Yes,"radians, acos clamped"
Angle (3-point),PARTIAL,athena,DefaultLigandInteractionAnalyzer.angle (private); tmt.NearAttackGeometry.angleDegrees,software/modules/athena/src/main/java/totah/lab/athena/ligand/interaction/DefaultLigandInteractionAnalyzer.java:189,Java,Private,Yes,"no general public 3-point angle API"
Dihedral,FULL,gaia,geometry.Dihedral,software/modules/gaia/src/main/java/totah/lab/gaia/geometry/Dihedral.java,Java,Yes,Yes (DihedralTest),"IUPAC-signed 4-point torsion"
Centroid,FULL,gaia+athena,ResidueGeometry.centroid; ResidueCentroidCalculator; PocketShapeStatistics; LigandGeometry,software/modules/athena/src/main/java/totah/lab/athena/pocket/geometry/PocketShapeStatistics.java,Java,Yes,Yes,"side-chain heavy-atom centroid; Rg; p95 span"
Plane fitting / normal,PARTIAL,athena,pocket.architecture.WallGeometryAnalyzer.localPlane (private) + PrincipalComponents (public PCA),software/modules/athena/src/main/java/totah/lab/athena/pocket/architecture/WallGeometryAnalyzer.java:213,Java,Private,Yes (PCA),"PCA least-squares plane; normal = smallest-eigenvalue axis; RMS point-to-plane roughness"
Angle between planes,PARTIAL,athena,WallGeometryAnalyzer.acuteAngleDegrees (private),software/modules/athena/src/main/java/totah/lab/athena/pocket/architecture/WallGeometryAnalyzer.java:246,Java,Private,Indirect,
Point-to-plane projection,PARTIAL,athena,PrincipalComponents.projection/offsetAlong,software/modules/athena/src/main/java/totah/lab/athena/pocket/architecture/PrincipalComponents.java,Java,Yes,Yes,"onto PCA axes, not arbitrary planes"
Ring centroid/normal,MISSING (Java) / ONE_OFF (Python),-,run_stage12j.ring_geom (SVD),analysis/mettl7-closure/stage12j_static_dcmb_chemistry/run_stage12j.py:47-54,Python,No,No,"only pi-ring geometry in the repo"
Rigid alignment,FULL,athena+euclid,KabschRigidPointAligner; CompositePocketAligner; euclid RigidSuperposition (QCP),software/modules/athena/src/main/java/totah/lab/athena/pocket/compare/KabschRigidPointAligner.java,Java,Yes,Yes (most),"CentroidPocketAligner/IcpPocketAligner untested"
Neighbor search (grid),FULL,gaia,graph.AtomCellIndex via ResidueGraph,software/modules/gaia/src/main/java/totah/lab/gaia/graph/AtomCellIndex.java,Java,Yes,Yes (via ResidueGraphTest),"uniform grid 4.0 A cells; pairsWithin(cutoff); package-private"
Neighbor search (k-d tree),FULL,euclid,spatial.SimpleKDTree,software/modules/euclid/src/main/java/totah/lab/euclid/spatial/SimpleKDTree.java,Java,Yes,Yes,"generic rangeSearch; daedalus SimpleKDTree is deprecated shim"
Voxel clash grid,PARTIAL,hephaestus,receptor.hydrogen.SpatialClashChecker,software/modules/hephaestus/src/main/java/totah/lab/hephaestus/receptor/hydrogen/SpatialClashChecker.java,Java,Yes,Indirect,"point-query only; H-placement scoped"
Residue contact lists,FULL,athena,ligand.contact.DefaultContactAnalyzer,software/modules/athena/src/main/java/totah/lab/athena/ligand/contact/DefaultContactAnalyzer.java,Java,Yes,Yes,"closest heavy pair per residue; 4.5 A DIRECT / 8.0 A SHELL"
Contact alignment,FULL,athena,ligand.selectivity.DefaultLigandContactAlignmentAnalyzer + AlignedLigandContact + DifferentialContactType,software/modules/athena/src/main/java/totah/lab/athena/ligand/selectivity/,Java,Yes,Yes,"cross-receptor contact-set alignment via sequence alignment; METTL7 regression fixtures"
Clash detection,FULL (untested),athena,clash.StericClashAnalysis,software/modules/athena/src/main/java/totah/lab/athena/clash/StericClashAnalysis.java,Java,Yes,NO TEST,"vdW sum x 0.7; excludes same-residue/bonded; O(n^2) - javadoc notes no spatial index"
SASA,FULL,athena,sasa.ShrakeRupleySasa,software/modules/athena/src/main/java/totah/lab/athena/sasa/ShrakeRupleySasa.java,Java,Yes,Yes,"Fibonacci 96 pts; probe 1.4; per-atom + total"
Burial,PARTIAL,athena,pocket.architecture.LoopRegionAnalyzer.burial,software/modules/athena/src/main/java/totah/lab/athena/pocket/architecture/LoopRegionAnalyzer.java:381,Java,Yes,Yes,"atom-count proxy within 8.0 A of side-chain centroid"
Local free volume,PARTIAL,athena,pocket.architecture.ShellFreeVolume (package-private),software/modules/athena/src/main/java/totah/lab/athena/pocket/architecture/ShellFreeVolume.java,Java,No,Indirect,"14 fixed shell directions; probe 1.4"
Pocket volume,PARTIAL,hermes+athena,FPocketParser/P2RankAdapter (external metrics); AlphaSphereArchitectureAnalyzer.volumeSum,software/modules/hermes/src/main/java/totah/lab/hermes/file/pocket/FPocketParser.java,Java,Yes,Yes,"absolute volume delegated to fpocket/p2rank; no native cavity volume"
Hydrogen bond detector,FULL (AD4 convention),athena,ligand.interaction.DefaultLigandInteractionAnalyzer.hydrogenBonds,software/modules/athena/src/main/java/totah/lab/athena/ligand/interaction/DefaultLigandInteractionAnalyzer.java:72-103,Java,Yes,Yes,"H...A<=2.5; D...A<=3.5; DHA>=120; both directions"
Salt bridge detector,PARTIAL,athena,DefaultLigandInteractionAnalyzer.saltBridge,software/modules/athena/src/main/java/totah/lab/athena/ligand/interaction/DefaultLigandInteractionAnalyzer.java:105-131,Java,Yes,Yes,"4.0 A closest pair + opposite charge sums >= 0.5 e; not group charge centers"
Hydrophobic contact detector,MISSING (Java) / ONE_OFF x5 (Python),-,run_stage12j hyd pairs; same_site_pose_analysis:152; run_stage12d:132; sar_experiment:92; displacement_field_analysis,analysis/mettl7-closure/stage12j_static_dcmb_chemistry/run_stage12j.py:76,Python,No,No,"~4.5 A C/S x C/Cl rule re-implemented 5+ times"
Pi stacking detector (parallel+T),MISSING (Java) / ONE_OFF (Python),-,run_stage12j.classify_pi (PARALLEL_PI/EDGE_FACE_PI),analysis/mettl7-closure/stage12j_static_dcmb_chemistry/run_stage12j.py:47-54,Python,No,No,"SVD normal; 5.5 A/30 deg/offset 2.5 A; near-PLIP; best consolidation source"
Pi-cation detector,MISSING,-,-,-,-,-,-,"nowhere in repo"
Halogen bond detector,MISSING,-,distance-only candidate analyze_functional_groups.py:325,analysis/docking-functional-group-chemistry/analyze_functional_groups.py,Python,No,No,"C-X angle not asserted"
Water bridge detector,MISSING,-,-,-,-,-,-,
Metal coordination detector,MISSING,-,-,-,-,-,-,"enum label only (pocket.evidence.InteractionType.METAL_COORDINATION_GEOMETRY)"
Interaction type enum (detectors),PARTIAL,athena,ligand.interaction.InteractionType,software/modules/athena/src/main/java/totah/lab/athena/ligand/interaction/InteractionType.java,Java,Yes,Yes,"HYDROGEN_BOND + SALT_BRIDGE only"
Interaction type enum (evidence),PARTIAL,athena,pocket.evidence.InteractionType,software/modules/athena/src/main/java/totah/lab/athena/pocket/evidence/InteractionType.java,Java,Yes,n/a,"CONTACT/HB_GEOMETRY/IONIC/HYDROPHOBIC/AROMATIC/METAL/OTHER - annotation vocabulary, no detectors"
Typed interaction fingerprint,PARTIAL,athena / tools,ContactStringRenderer (strings); vina_vs_biohub_interaction_fingerprint.py (typed, distance-only),software/modules/athena/src/main/java/totah/lab/athena/ligand/selectivity/ContactStringRenderer.java; tools/scripts/vina_vs_biohub_interaction_fingerprint.py,Java+Python,Partial,Yes (Java),"no PLIP-style per-residue typed bit fingerprint"
PocketMatch signatures,FULL,athena,pocket.pocketmatch.DefaultPocketMatchSignatureFactory + DefaultPocketMatchComparator,software/modules/athena/src/main/java/totah/lab/athena/pocket/pocketmatch/,Java,Yes,Yes,"90-category distance-list signature; 0.5 A tolerance; pocket-pocket"
Contact matrix,PARTIAL,athena+SQL,PocketPairComparison (Jaccard); docking.pose_residue_contact matviews; build_inventory.py 74-ligand matrix,software/modules/athena/src/main/java/totah/lab/athena/pocket/component/PocketPairComparison.java; analysis/docking-selectivity-inventory/build_inventory.py,Java+SQL+Python,Partial,Partial,"74-ligand matrix geometry computed upstream by Java pipeline into PostgreSQL"
PDB parsing,FULL,hermes,file.pdb.reader.PdbReader,software/modules/hermes/src/main/java/totah/lab/hermes/file/pdb/reader/PdbReader.java,Java,Yes,Yes,"BioJava 7.2.5-backed"
mmCIF parsing,FULL,hermes,file.mmcif.reader.* (7 readers),software/modules/hermes/src/main/java/totah/lab/hermes/file/mmcif/reader/,Java,Yes,Mostly,
PDBQT parsing,FULL,hermes,file.pdbqt.reader.PdbqtReader + writers + validators + Vina/Meeko parsers + PdbqtGaiaMapper,software/modules/hermes/src/main/java/totah/lab/hermes/file/pdbqt/,Java,Yes,Yes,"requires partial charge + AD4 type columns"
SDF parsing,PARTIAL,hermes,file.sdf.reader.SdfLigandReader,software/modules/hermes/src/main/java/totah/lab/hermes/file/sdf/reader/SdfLigandReader.java,Java,Yes,Yes,"V2000 single-record only; bond 4 -> AROMATIC; M CHG charges"
MOL2 parsing,MISSING,-,-,-,-,-,-,
Ligand/SAM/cofactor identification,FULL,hermes,component.LigandClassifier (COFACTOR incl SAM/SAH/SIN); hephaestus FixedCofactor/ReceptorAssembly,software/modules/hermes/src/main/java/totah/lab/hermes/component/LigandClassifier.java,Java,Yes,Yes,"CCD-curation-table based"
CCD chemistry,FULL,hermes,ccd.CcdComponent/BioJavaCcdComponentMapper,software/modules/hermes/src/main/java/totah/lab/hermes/ccd/,Java,Yes,Yes,"formal charge, aromatic flag, leaving flag, model+ideal coords"
SAM near-attack geometry,FULL (parameterized),athena,tmt.NearAttackGeometry + NearAttackAssessor + EnsembleNacAnalyzer,software/modules/athena/src/main/java/totah/lab/athena/tmt/,Java,Yes,Yes,"S...C(methyl) distance, S-C-S angle, C-S(SAM) bond; criteria caller-supplied with provenance; ensemble NAC fractions"
Sulfonium stereochemistry,FULL,athena,tmt.SulfoniumStereochemistryAssessment,software/modules/athena/src/main/java/totah/lab/athena/tmt/SulfoniumStereochemistryAssessment.java,Java,Yes,Yes,"signed-volume chirality"
METTL7 residue/sector data,ONE_OFF,mettl7,triage.Mettl7TriageRuleset + RecognitionFeatures (context195To203/context228To237 booleans),software/modules/mettl7/src/main/java/totah/lab/mettl7/triage/Mettl7TriageRuleset.java,Java,Config data,Yes,"F43/Y47/F199 etc as residue-name sets; no geometry"
DCMB F43/F199 distances,ONE_OFF x3,analysis,analyze_interference.py:290-294; compare_dcmb_candidate_subspaces.py:140-143; same_site_pose_analysis.py:271-277,analysis/dcmb/dcmb_tsl_interference/analyze_interference.py,Python,No,No,"min heavy-atom distance, contact <= 4.5 A"
Tyr47 pi-contact geometry,ONE_OFF,analysis,run_stage12j.py classify_pi (47 in focus list); analyze_functional_groups.py:224 (distance-only corridor),analysis/mettl7-closure/stage12j_static_dcmb_chemistry/run_stage12j.py,Python,No,No,
Local free volume (grid),ONE_OFF x4,analysis,accessible_volume/local_cavity_volume/ligand_volume,analysis/dcmb/reciprocal_mutation_geometry.py:16-26; analysis/dcmb/dcmb_tsl_interference/analyze_interference.py:120-127; analysis/mettl7-closure/stage4/analyze_dcmb_campaign.py:118-122; analysis/dcmb/displacement_field_analysis.py:44-52,Python,No,No,"0.5 A grid, clearance >= 2.0 A; 4 near-identical copies"
TSL productive-state geometry,ONE_OFF,analysis,tsl_catalytic_geometry/reconstruct_tsl.py,analysis/dcmb/tsl_catalytic_geometry/reconstruct_tsl.py,Python,No,No,"ETKDGv3+MMFF; S...CE 2.8/3.0/3.2 A; cone 150-180; hand-rolled minimizer in tsl_conformational_response.py"
DCMB x TSL overlap,ONE_OFF x2,analysis,analyze_interference.py shared_volume/corridor_fraction/swept volume,analysis/dcmb/dcmb_tsl_interference/analyze_interference.py; analysis/mettl7-closure/stage4/analyze_interference.py,Python,No,No,"1.0/1.7 A envelopes on 0.5 A grid"
Near-attack Python variants,ONE_OFF x8,research,run_near_attack.py:21-24; run_campaign.py:190; run_analysis.py:110; analyze_analog_campaign.py:134; analyze_sah_campaign.py:178; analyze_klf4...:20; analyze_haddock_rna_batch.py:54-55,research/mettl7-*/,Python,No,No,"INCONSISTENT gates (2.7-3.5 A, 145-150 deg+) - reproducibility hazard; athena tmt supersedes"
Netarsudil 196-207 contacts,ONE_OFF,research,mettl7-netarsudil-sam-mechanism scripts (N5/N6 2.8-3.2 A >= 150 deg),research/mettl7-netarsudil-sam-mechanism/,Python,No,No,
BRICS residue contacts,ONE_OFF,analysis,run_stage12d.py:71,126-134; run_zero_docking_triage.py:50,analysis/mettl7-closure/stage12d_region1_fragments/run_stage12d.py,Python,No,No,"RDKit BRICS + 4.5 A contact typing"
Grid-indexed residue contacts (JS),ONE_OFF,tools,extract_model1_residue_contacts.mjs buildReceptorGrid/residueContacts,tools/scripts/extract_model1_residue_contacts.mjs,JavaScript,No,No,"uniform grid 4.0 A cells; hardcoded file names; MODEL 1 only"
Functional-group classifier,ONE_OFF,analysis,analyze_functional_groups.functional_group/ring_system,analysis/docking-functional-group-chemistry/analyze_functional_groups.py:120-162,Python,No,No,"RDKit hierarchical rules; halogen/carbonyl/alcohol/ether/ammonium/aryl classes"
Hand-rolled PDB/PDBQT parsers,ONE_OFF x12+,analysis+research+tools,pdb_atoms/atom_records/parse_models/parse_pdbqt...,analysis/dcmb/*.py; research/mettl7-*/**.py; tools/scripts/*.py/.mjs,Python+JS,No,No,"all superseded by hermes PdbReader/PdbqtReader"
Python geometry helpers,ONE_OFF,analysis+research,angle x6; dihedral x3; kabsch x4; rmsd x5+; point-to-segment x3; rodrigues x3,analysis/ and research/ scripts,Python,No,No,"all superseded by gaia.geometry / euclid"
Python SASA copies,ONE_OFF x4,research+analysis,sasa_reduction/ligand_sasa_reduction/residue_sasa/surface_metrics,research/mettl7-*/analyze_local_refinement.py:37; analyze_matched_vina.py:81; analyze_local_architecture.py:72; analysis/mettl7-closure/stage12_cavity_chemistry/run_cavity_chemistry.py:103-119,Python,No,No,"Fibonacci sphere, probe 1.4 - superseded by athena ShrakeRupleySasa"
Escape-vector/connectivity analysis,ONE_OFF,analysis,stage8_11 run_structural_design.py reachable/components/widest_path/opening_metrics,analysis/mettl7-closure/stage8_11_design/run_structural_design.py:101-122,507-584,Python,No,No,"clearance field + BFS flood fill + 26-connected components + max-min Dijkstra; most reusable buried code in analysis/"
