PARAMETER_ID,VALUE,UNIT,SOURCE,PROVENANCE,FROZEN_OR_FITTABLE
ATOM_5_CHARGE,0.6347030012676775,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_5_LJ_RMIN,1.860600000047295,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_5_LJ_EPSILON,0.09879999999945691,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_6_TYPE,o,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_6_CHARGE,-0.5663450003567058,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_6_LJ_RMIN,1.710699999750417,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_6_LJ_EPSILON,0.1463000002025108,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_7_TYPE,ce,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_7_CHARGE,-0.402716000175609,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_7_LJ_RMIN,1.860600000047295,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_7_LJ_EPSILON,0.09879999999945691,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_8_TYPE,c2,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_8_CHARGE,0.1006860001207312,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_8_LJ_RMIN,1.860600000047295,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_8_LJ_EPSILON,0.09879999999945691,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_9_TYPE,c6,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_9_CHARGE,-0.2874720002414624,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_9_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_9_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_10_TYPE,c6,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_10_CHARGE,-0.04779499997256109,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_10_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_10_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_11_TYPE,c6,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_11_CHARGE,0.0991709998189032,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_11_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_11_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_12_TYPE,c6,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_12_CHARGE,-0.02045399998902444,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_12_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_12_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_13_TYPE,c6,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_13_CHARGE,-0.0627300000548778,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_13_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_13_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_14_TYPE,c6,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_14_CHARGE,-0.0622629997310987,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_14_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_14_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_15_TYPE,c5,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_15_CHARGE,0.1862359998463421,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_15_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_15_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_16_TYPE,c5,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_16_CHARGE,0.01781399998902444,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_16_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_16_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_17_TYPE,c5,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_17_CHARGE,-0.1590139998792688,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_17_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_17_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_18_TYPE,c5,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_18_CHARGE,-0.1118269998847566,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_18_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_18_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_19_TYPE,c5,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_19_CHARGE,0.3793910000384145,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_19_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_19_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_20_TYPE,c5,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_20_CHARGE,-0.002852,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_20_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_20_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_21_TYPE,c5,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_21_CHARGE,-0.3177330002249991,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_21_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_21_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_22_TYPE,c,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_22_CHARGE,0.696805002661574,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_22_LJ_RMIN,1.860600000047295,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_22_LJ_EPSILON,0.09879999999945691,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_23_TYPE,o,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_23_CHARGE,-0.5444619998573176,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_23_LJ_RMIN,1.710699999750417,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_23_LJ_EPSILON,0.1463000002025108,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_24_TYPE,os,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_24_CHARGE,-0.473866999775001,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_24_LJ_RMIN,1.771300000814747,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_24_LJ_EPSILON,0.07259999972208558,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_25_TYPE,c3,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_25_CHARGE,-0.4222099998353666,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_25_LJ_RMIN,1.90690000000765,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_25_LJ_EPSILON,0.1078000000751509,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_26_TYPE,sh,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_26_CHARGE,-0.2900640001536579,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_26_LJ_RMIN,1.9825000003414,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_26_LJ_EPSILON,0.2823999992349523,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_27_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_27_CHARGE,0.09341200013170675,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_27_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_27_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_28_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_28_CHARGE,0.09341200013170675,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_28_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_28_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_29_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_29_CHARGE,0.09341200013170675,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_29_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_29_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_30_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_30_CHARGE,0.03051300000548778,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_30_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_30_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_31_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_31_CHARGE,0.05227,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_31_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_31_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_32_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_32_CHARGE,0.06840099987378102,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_32_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_32_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_33_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_33_CHARGE,0.07038899974207427,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_33_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_33_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_34_TYPE,ha,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_34_CHARGE,0.1723479999780489,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_34_LJ_RMIN,1.473499999820152,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_34_LJ_EPSILON,0.0161000000179178,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_35_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_35_CHARGE,0.1124900001646334,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_35_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_35_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_36_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_36_CHARGE,0.1128650000274389,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_36_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_36_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_37_TYPE,h1,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_37_CHARGE,0.1246489998518299,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_37_LJ_RMIN,1.359300000037045,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_37_LJ_EPSILON,0.02080000001973725,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_38_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_38_CHARGE,0.02068799997804887,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_38_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_38_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_39_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
ATOM_39_CHARGE,0.02426200002195112,elementary_charge,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/BASELINE_IDENTITY.json,accepted AmberTools26 three-minimum RESP,FROZEN
ATOM_39_LJ_RMIN,1.459299999617803,angstrom,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_39_LJ_EPSILON,0.02080000005655412,kcal/mol,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,GAFF2 topology,FROZEN
ATOM_40_TYPE,hc,Amber atom type,analysis/mettl7-phase2/execution-unit-05O/model-form-analysis/baseline/baseline.parm7,baseline.parm7,FROZEN
