alternative_rank,immutable_ligand_identity_sha256,historical_database_compound_id_provenance_only,external_id,name,smiles,inchi_key,historical_engine_output_7b,historical_engine_output_7a,historical_delta_7a_minus_7b,historical_216_member
36,19bc33d1b06aa16909be04a3ae1dfa64687c036580a1f908d48baf4478ec9285,69f8d796-c5b9-4110-bf4c-0e3582da0980,WH-0056,WH-0056,C=CC(=O)NCCc1cccc(N2C(=O)CSC23C(=O)Nc2ccccc23)c1,DHCWNESHYZVYII-UHFFFAOYSA-N,-8.968,-6.664,2.3040000000000003,t
37,7a5c4e21ca10377b860a2727b553ea18af83ad6a26424c9659916cd7e2d13b41,3324e649-8f99-45d7-8df1-c833d1836abd,MCULE-4375244890,MCULE-4375244890,CCC(C)(C)n1nnnc1C(c1ccc(O)c(OC)c1)N1CCN(c2nc3ccccc3s2)CC1,LLTDQJRCIJWYTM-UHFFFAOYSA-N,-10.053,-7.755,2.298000000000001,t
38,24fbdb2b7f9ee62ff7e371fba0ee243ce573bf66314a1bf826b2d7950bbeecd3,de7b0978-40ca-4f9b-9e63-df3bed042105,T6770,T6770,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)cn1,AOTRIQLYUAFVSC-UHFFFAOYSA-N,-8.486,-6.191,2.295000000000001,t
39,6ac24f85fc135578f76703038d0b0382d33f44e7d9eea0501754d461116a1e9f,21384610-b399-46ad-9c6a-20b223958fc9,WH-0028,WH-0028,C=C(C#N)C(=O)NCCc1cc2c(-c3ccc4c(c3)CC(=O)N4)c(-c3ccc(F)cc3)nn2c(N2CCC(O)CC2)n1,QPANBANSFANNGH-UHFFFAOYSA-N,-8.767,-6.476,2.2909999999999995,t
40,0b03aa7a32e953f17bdff3c165ece31dbce6cc6c2dae03f103e3ed582ad302f9,e9271a3e-0df6-4600-92be-4e0465382986,WH-0339,WH-0339,C=C(C#N)C(=O)NCCCc1cc2c(-c3ccc4c(c3)CC(=O)N4)c(-c3ccc(C(F)(F)F)cc3)nn2c(N2CCC(O)CC2)n1,KWOKLRXKTABLCZ-UHFFFAOYSA-N,-8.374,-6.13,2.2440000000000007,t
41,51236e59c7dcbbdf4c1c551baca49bea4d8dd9fe630f987dbf37332199b65bcf,a06c71b3-dc14-489d-91b3-a666170bcac9,WH-0102,WH-0102,C=CC(=O)NCCCc1cc(-c2nnc3n2[C@@H](CC(C)C)C(=O)N(CC)C3)c(OC)c(OC)c1OC,DRRDPMLMJMHKDK-IBGZPJMESA-N,-8.56,-6.352,2.208,t
42,bb288b73cd898472b27ac5889397895fecfc110ec8a0907ba845f006d2b39d73,0db8d3a1-f75b-4028-9fee-a87b927ec6c5,WH-0385,WH-0385,COc1ccc(-c2nn3c(N4CCC(O)CC4)nccc3c2-c2cc(CCNC(=O)CCl)c3c(c2)CC(=O)N3)cc1,MLAYFMXPQNCGBL-UHFFFAOYSA-N,-9.177,-6.985,2.1919999999999993,t
43,c1561f19a4bec0956bf4ca2fa5f4acacf1405df881ac09fb5ae6f92f57516b33,7fdf0805-ce46-49d1-a21b-c1bf3f50fddb,WH-0148,WH-0148,C=C(C#N)C(=O)NCCc1cc(F)ccc1C(=O)N[C@H]1[C@H](c2ccccc2)N(S(C)(=O)=O)CC[C@@]1(C)O,MPUBCYIPIQQHPY-JCYRPKCISA-N,-10.366,-8.177,2.189,t
44,821bb9834d25f3abe8439b8fcf20dcefb858e2da3d295eb4cf8e34a4b05aabfd,9193a513-be1b-4a91-bdc5-ab0f80b1aa6b,WH-0183,WH-0183,C=C(C#N)C(=O)NCCc1cc2c(cc1F)[C@@H](C)Nc1ccn3ncc(c3n1)C(=O)NC[C@H](C)O2,ANVJCCGQMRDCET-LSDHHAIUSA-N,-13.756,-11.588,2.168000000000001,t
45,845b1aceffe570d846697b49905925d9893e81ae2e3641dd9656a2787936d5ac,ab9ee675-a0c3-43eb-b055-7ae801b0f2f7,WH-0149,WH-0149,C=C(C#N)C(=O)NCCCc1cc(F)ccc1C(=O)N[C@H]1[C@H](c2ccccc2)N(S(C)(=O)=O)CC[C@@]1(C)O,BZLHIYYUHUFFGF-NLJOTIRTSA-N,-10.228,-8.063,2.164999999999999,t
46,bc3bdab6990b6b0d17b46faada248e89435736673c0efecadd1f151e85b45156,0a2ce124-96cc-4274-bd93-a1cab312ac2e,WH-0098,WH-0098,C=C(C#N)C(=O)NCCc1cc(OC)c(OC)c(OC)c1-c1nnc2n1[C@@H](CC(C)C)C(=O)N(CC)C2,CTZUSVUZRDRJRE-SFHVURJKSA-N,-8.71,-6.546,2.1640000000000006,t
47,9d36b4b7a7812a5e48585ccd6ce33228c84b0bab031b50fcf4ddac45e592fb96,58374cae-0c21-48cc-a456-5851beba42d3,WH-0009,WH-0009,C=C(C#N)C(=O)NCCCc1cc(F)ccc1-c1nn2c(N3CCC(O)CC3)nccc2c1-c1ccc2c(c1)CC(=O)N2,CIZOTMWDTRCBQW-UHFFFAOYSA-N,-9.314,-7.16,2.154,t
48,ba4810496f53d4652cce59432b56f841511a0eca424a238e874372f0179030a9,515ebf05-482c-4dd2-8d7c-6f12e926d418,WH-0064,WH-0064,C=C(C#N)C(=O)NCCCc1ccc(N2C(=O)CSC23C(=O)Nc2ccccc23)cc1,CIVSEEFEMVXASK-UHFFFAOYSA-N,-9.787,-7.648,2.139000000000001,t
49,d7677512be06812e2749c4a289a3dd09714d30d5c1f3aa5e16277c9bb3100473,7c1032a2-8873-4293-8d24-819b79c7c60e,WH-0293,WH-0293,C=C(C#N)C(=O)NCCc1cc(F)ccc1-c1nn2c(N3CCOCC3)nccc2c1-c1ccc2c(c1)CC(=O)N2,LMQSWKLBBIVGOW-UHFFFAOYSA-N,-11.045,-8.906,2.1389999999999993,t
50,3f0676ad66d25741c9adc189f5ce911fa238858af7b6cdd93f878e5370b83fac,3abb7afd-3bcb-478c-99ee-d00b7b9cd50f,CHEMBL5860275,CHEMBL5860275,Cc1n[nH]c2c1C(c1cc(C#CCCO)cc(C(F)(F)F)c1)(C(C)C)C(C#N)=C(N)O2,MNQKCFVRMKFSRS-UHFFFAOYSA-N,-7.631,-5.493,2.138,t
51,567ec78ef23fcda861526cffb3d0fd898d56ccc7b0be7514bb1bdb25f7df805c,efe6a8e3-18f5-4bd5-a6ea-5b3748ad91ad,WH-0014,WH-0014,C=C(C#N)C(=O)NCCCc1cc(-c2nn3c(N4CCC(O)CC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)ccc1F,HIKZLPRTYKTJDO-UHFFFAOYSA-N,-12.155,-10.023,2.1319999999999997,t
52,de231dda79843453bc28e0ed97d8701c421e119a13c14c3c5a7a1f5d0c3dc370,ebbbd3b5-b24c-4d74-b579-9f48feda8276,CHEMBL5171494,CHEMBL5171494,Cn1ncc(-c2cc([C@H]3CCCO3)c3c(=O)[nH]nc(CN)c3c2)c1-c1sc2ccccc2c1C#N,RXOUGZIIVASWRH-OAQYLSRUSA-N,-8.72,-6.604,2.1160000000000005,t
53,5569556eedc894404c5b6072de7a50f70053294fbff04f40a96c0696bd8fe4ef,4c9559f1-6dcc-44f4-a307-396963ff811f,MCULE-8754115049,MCULE-8754115049,Cc1noc(C)c1-c1ccc2nc(-c3cnn(CCO)c3)nc(N3CCOCC3c3ccccc3)c2c1,XGGMHAKFCUIDSF-UHFFFAOYSA-N,-8.179,-6.078,2.101,t
54,528a27bb0fe6175f9a88570f0407eccbe7963cfdd10ef7d34163c88007edfb0c,6faddd8d-bf94-469d-aae5-a8e0c915e13e,T4071,T4071,C[C@H]1CNC(=O)c2cnn3ccc(nc23)N[C@H](C)c2cc(F)ccc2O1,FIKPXCOQUIZNHB-WDEREUQCSA-N,-7.001,-4.91,2.091,f
55,a74fbd5249b687e5d222f99c13ffe9acafb059da264e5d6146d21c5427cb9b0a,8aae7a21-e763-4ce3-814d-96cfe7f8b470,WH-0292,WH-0292,C=CC(=O)NCCCc1cc(F)ccc1-c1nn2c(N3CCOCC3)nccc2c1-c1ccc2c(c1)CC(=O)N2,VXAVGFAUGRSOCN-UHFFFAOYSA-N,-10.491,-8.432,2.0589999999999993,t
56,45a480cb2bb7bc8020e5d92f827ac0d207694397858c73abb40e8f9a9cbfd3c4,1c10c196-ce0a-4dc8-93a9-d967fe13cd01,WH-0336,WH-0336,C=CC(=O)NCCc1cc2c(-c3ccc4c(c3)CC(=O)N4)c(-c3ccc(C(F)(F)F)cc3)nn2c(N2CCC(O)CC2)n1,UGPWERLWNBHQBX-UHFFFAOYSA-N,-9.435,-7.377,2.0580000000000007,t
57,226a91c2d38500a2f12d020e05aa039bbbf5b4497c85b8dd3f24dc8ad2a77201,567f4fa4-2dda-496c-9d9f-852007d3f3c6,MCULE-7775887874,MCULE-7775887874,CCN1Cc2nnc(-c3ccc(OC)c(OC)c3OC)n2[C@@H](CC(C)C)C1=O,ZIFHMJQEKNETDX-AWEZNQCLSA-N,-7.637,-5.644,1.9929999999999994,t
58,15ea270da32c71be87b24308359970a0db53df3c9284a57a08e6f7df1a81f354,a268d398-9954-4abc-a98d-0349508167af,MCULE-7994089601,MCULE-7994089601,N#CCN1CCC(n2c(=O)cnc3cnc4ccc(-c5ccc(N)nc5)cc4c32)CC1,PQEIMHBVHXTVNA-UHFFFAOYSA-N,-9.042,-7.081,1.9609999999999994,t
59,90d1e1e560f50cfe555e07ea30d9dfbe21bc8097b4a0162b19675879ee07f61f,e4b06a75-3f7a-4f25-b650-a239f2bbd9f4,MCULE-8494972495,MCULE-8494972495,Cc1c(C(=O)N2CCN(c3ccccc3F)CC2)sc2ncn(CC(=O)N3CCC(C)CC3)c(=O)c12,PVLXZNGQFPMHHK-UHFFFAOYSA-N,-11.827,-9.874,1.9529999999999994,t
60,8169908f7f32523f38be945dcbd8eeb73f8dad87bcf65ebe69e801add941e349,d390052a-9469-4f17-9aec-c328f906086d,WH-0097,WH-0097,C=CC(=O)NCCCc1cc(OC)c(OC)c(OC)c1-c1nnc2n1[C@@H](CC(C)C)C(=O)N(CC)C2,BPKAVVPPVDQNNY-SFHVURJKSA-N,-8.161,-6.208,1.9529999999999994,t
61,c6d6c22f7c959f5d1574cf3444428c2e9a067162be0b6196fbf932fe57674ff5,f9286542-b9ce-46c5-b221-56d030d3cbcb,WH-0299,WH-0299,C=C(C#N)C(=O)NCCCc1cc(-c2nn3c(N4CCOCC4)nccc3c2-c2ccc3c(c2)CC(=O)N3)ccc1F,ITZHZBDRPZBSGV-UHFFFAOYSA-N,-11.681,-9.748,1.9329999999999998,t
62,134ff2902ef6a3ff518304f07b51fd35fee9a193284ec01c82d206c476615ecc,0bdf7f3e-1d1a-447f-b91f-ee414b5def92,WH-0006,WH-0006,C=CC(=O)NCCc1cc(F)ccc1-c1nn2c(N3CCC(O)CC3)nccc2c1-c1ccc2c(c1)CC(=O)N2,AUQKQFBQAGFGLL-UHFFFAOYSA-N,-11.314,-9.382,1.9320000000000004,t
63,b1d7d9956d0e8ec083f3076083e91c02ddbf476dfee64dbf53219b874906e1f4,b2a20496-c387-41e0-9d6a-fc006fa13f53,WH-0306,WH-0306,C=CC(=O)NCCc1cc2c(-c3ccc4c(c3)CC(=O)N4)c(-c3ccc(F)cc3)nn2c(N2CCOCC2)n1,SJJJURGUTUQFRU-UHFFFAOYSA-N,-9.643,-7.737,1.9060000000000006,t
64,769cc0c8f79d3b243dbda2af6f7eb0cc95865ca0aa5e76ec6425249934cf5b60,988fa699-f4dd-4ec4-932f-a252a9550b36,MCULE-4790369949,MCULE-4790369949,COc1ccc(C2C(C(=O)c3ccccc3)N3c4ccc(F)cc4C=CC3C2(C#N)C(N)=O)cc1OC,LTRMVIJAKVNGSJ-UHFFFAOYSA-N,-7.911,-6.011,1.8999999999999995,t
65,7f660845ad720e2a18aee70cd7becd5cf2b671fcffb8f1da01b921f33806a2a5,2e053678-704c-4595-b045-7237e967409f,WH-0153,WH-0153,C=C(C#N)C(=O)NCCc1nn2ccc3nc2c1C(=O)NC[C@H](C)Oc1ccc(F)cc1[C@@H](C)N3,JYIXPWNGSQMCMY-LSDHHAIUSA-N,-13.031,-11.135,1.8960000000000008,t
66,79c27c0ee3136745261154c7c0c0a79145cddf29ec1edc7db0206a7986ef18d3,0fb75df1-7c41-4ef7-9f8c-0f01084a74e3,WH-0307,WH-0307,C=CC(=O)NCCCc1cc2c(-c3ccc4c(c3)CC(=O)N4)c(-c3ccc(F)cc3)nn2c(N2CCOCC2)n1,WEDLAPCXIANMST-UHFFFAOYSA-N,-10.435,-8.557,1.8780000000000001,t
67,3c996003e41eaca27bd46b6ffaca646817a983de16ae9eb480c4fffe7b426933,30a6cde0-0ebe-4fee-a831-8f0273ab6073,T1874,T1874,Cc1ccc(C2Nc3ccccc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)o1,MNOOVRNGPIWJDI-UHFFFAOYSA-N,-7.526,-5.66,1.8659999999999997,t
68,b863fb170c7753457dcfb2a3b882b96be49e68c49daf93c448c618b725ff1940,3a8ce804-d1ce-4792-9366-ecfc4dd25c91,WH-0141,WH-0141,C=CC(=O)NCCc1ccc([C@H]2[C@H](NC(=O)c3ccc(F)cc3)[C@](C)(O)CCN2S(C)(=O)=O)cc1,RVTSIGYZQCFDTL-SONWIMMPSA-N,-9.114,-7.27,1.8440000000000012,t
