arm,R_bohr,energy_set1_Ha,energy_set2_Ha,mean_energy_Ha,energy_spread_Ha,variance_set1_Ha2,variance_set2_Ha2,mean_variance_Ha2,iterations,wall_time_ns,converged,physics_passed,parameters
SAMPLING_B_SIZE,1.0,-1.108513110545527,-1.108513110545527,-1.108513110545527,0.000000000000000,0.1230548864050137,0.1230548864050137,0.1230548864050137,0,0,true,true,"[0.5388085488603971, -0.448413623889689, 0.43954536417419937, 0.32462695192872004, -0.3122468238222831]"
SAMPLING_B_COMPRESSED,1.0,-1.108757514706826,-1.108757514706826,-1.108757514706826,0.000000000000000,0.1233188897108322,0.1233188897108322,0.1233188897108322,0,0,true,true,"[0.5388085488603971, -0.448413623889689, 0.43954536417419937, 0.32462695192872004, -0.3122468238222831]"
OPTIMIZATION_B_SR,1.0,-1.119305696125051,-1.119720489709170,-1.119513092917110,0.0004147935841194439,0.03074210920389933,0.03049959132895200,0.03062085026642566,18,399370625,true,true,"[0.6902460285684904, -0.21901651021372776, 0.13463355520331838, 0.003733140508140296, 0.035759907313296244]"
TRAINING_SAMPLE_B,1.0,-1.118548823426914,-1.119005455457855,-1.118777139442385,0.0004566320309411509,0.04146403373123563,0.04137716705075722,0.04142060039099643,121,69085338417,false,true,"[0.6984001065228178, -0.2630727942881233, 0.4015336286052099, -0.07262779272715557, -0.12688133764056855]"
ANSATZ_B_FEATURES,1.0,-1.089658076936047,-1.090411860990854,-1.090034968963450,0.0007537840548073049,0.3787465996413497,0.3725730677116981,0.3756598336765239,121,35041984916,false,true,"[0.4549445837120345, -0.7855327821874084, 0.8326634268515032, 0.21658814822178848, -0.5237182261136542, 0.2469429454233538, -0.007093601691504549, 0.001213073443062335]"
ANSATZ_B_BACKFLOW_FEATURE,1.0,-1.085659465976673,-1.086576205877214,-1.086117835926943,0.0009167399005411969,0.4426853400849409,0.4348717438333837,0.4387785419591623,121,20579241333,false,true,"[0.4107632124071233, -0.96831941859085, 1.2392879713304377, 0.32528884467999164, -0.5942453295037482, -0.01764176201374504]"
BASELINE_A,1.2,-1.150754842883217,-1.151361598310021,-1.151058220596619,0.0006067554268045505,0.1124333054088090,0.1090203115138833,0.1107268084613461,0,0,false,true,"[0.5962643291023922, -0.6368965858964115, 0.7840794034719059, 0.2827930675108509, -0.43679748748172864]"
SAMPLING_A,1.2,-1.149208144870668,-1.149208144870668,-1.149208144870668,0.000000000000000,0.1141997095278766,0.1141997095278766,0.1141997095278766,0,0,true,true,"[0.5962643291023922, -0.6368965858964115, 0.7840794034719059, 0.2827930675108509, -0.43679748748172864]"
SAMPLING_B_SIZE,1.2,-1.151361598310021,-1.151361598310021,-1.151361598310021,0.000000000000000,0.1090203115138833,0.1090203115138833,0.1090203115138833,0,0,true,true,"[0.5962643291023922, -0.6368965858964115, 0.7840794034719059, 0.2827930675108509, -0.43679748748172864]"
SAMPLING_B_COMPRESSED,1.2,-1.151732116246570,-1.151732116246570,-1.151732116246570,0.000000000000000,0.1091230134992826,0.1091230134992826,0.1091230134992826,0,0,true,true,"[0.5962643291023922, -0.6368965858964115, 0.7840794034719059, 0.2827930675108509, -0.43679748748172864]"
OPTIMIZATION_B_SR,1.2,-1.159902850245284,-1.160103473634611,-1.160003161939948,0.0002006233893274700,0.02729661020814017,0.02705461062474984,0.02717561041644501,18,205536875,true,true,"[0.7373062265908691, -0.23359110376231373, 0.20205785990126554, -0.0010190441252985176, -0.015130960014171345]"
TRAINING_SAMPLE_B,1.2,-1.157771240828492,-1.158174269098476,-1.157972754963484,0.0004030282699840626,0.05641309598786352,0.05576758541594511,0.05609034070190432,121,66143433375,false,true,"[0.7373788330531311, -0.45303137365104607, 0.736533354123231, -0.08238990566749853, -0.26250488604294164]"
ANSATZ_B_FEATURES,1.2,-1.143140931950475,-1.144143230540176,-1.143642081245326,0.001002298589700912,0.2181141612398821,0.2118251727988099,0.2149696670193460,121,32942329792,false,true,"[0.5513562348749474, -0.8279875742115325, 1.0004481723580512, 0.24249442885571618, -0.575826034638624, 0.17039729130483738, -0.015823763132010404, -0.03298234577431592]"
ANSATZ_B_BACKFLOW_FEATURE,1.2,-1.145761573830200,-1.146633170066696,-1.146197371948448,0.0008715962364960195,0.1805402659229344,0.1748725871057436,0.1777064265143390,121,47375268833,false,true,"[0.5562331437635455, -0.8274831963347338, 1.097915776796365, 0.28850386566669106, -0.5646123657794659, -6.357215799782794E-4]"
