record_id,field,recovered_value,historical_value,absolute_difference,matches_tolerance,historical_source,historical_checksum,historical_locator
"phi060_psi060_B_m10","deltaE_vs_parent_kcal_mol",-0.8131250787392956,-0.813125,7.873929563917414E-8,true,"analysis/mettl7-phase2/execution-unit-05L/SPARSE_TWO_ANGLE_QM_RESULTS.csv","e2564ca03a5541e3958e05b69978b697eaf75dd2610143ffcb957a79e28dbbf3","line 4, column deltaE_vs_parent_kcal_mol"
"phi060_psi060_B_p10","deltaE_vs_parent_kcal_mol",0.5503836976396368,0.550384,3.023603631913119E-7,true,"analysis/mettl7-phase2/execution-unit-05L/SPARSE_TWO_ANGLE_QM_RESULTS.csv","e2564ca03a5541e3958e05b69978b697eaf75dd2610143ffcb957a79e28dbbf3","line 5, column deltaE_vs_parent_kcal_mol"
"phi300_psi060_A_m10","deltaE_vs_parent_kcal_mol",1.881863455332883,1.881863,4.5533288295374064E-7,true,"analysis/mettl7-phase2/execution-unit-05L/SPARSE_TWO_ANGLE_QM_RESULTS.csv","e2564ca03a5541e3958e05b69978b697eaf75dd2610143ffcb957a79e28dbbf3","line 6, column deltaE_vs_parent_kcal_mol"
"phi300_psi060_A_p10","deltaE_vs_parent_kcal_mol",0.5029241153625231,0.502924,1.1536252308985695E-7,true,"analysis/mettl7-phase2/execution-unit-05L/SPARSE_TWO_ANGLE_QM_RESULTS.csv","e2564ca03a5541e3958e05b69978b697eaf75dd2610143ffcb957a79e28dbbf3","line 7, column deltaE_vs_parent_kcal_mol"
"phi300_psi060_B_m10","deltaE_vs_parent_kcal_mol",1.1883440755048107,1.188344,7.550481062601477E-8,true,"analysis/mettl7-phase2/execution-unit-05L/SPARSE_TWO_ANGLE_QM_RESULTS.csv","e2564ca03a5541e3958e05b69978b697eaf75dd2610143ffcb957a79e28dbbf3","line 8, column deltaE_vs_parent_kcal_mol"
"phi300_psi060_B_p10","deltaE_vs_parent_kcal_mol",2.4202550506785596,2.420255,5.067855957108236E-8,true,"analysis/mettl7-phase2/execution-unit-05L/SPARSE_TWO_ANGLE_QM_RESULTS.csv","e2564ca03a5541e3958e05b69978b697eaf75dd2610143ffcb957a79e28dbbf3","line 9, column deltaE_vs_parent_kcal_mol"
"01_MIN01_S_ACCEPTOR_2.2","qm_interaction_energy_kcal_mol",0.4332268549907766,0.4332268549907766,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=01_MIN01_S_ACCEPTOR_2.2, column qm_interaction_energy"
"10_MIN01_O2_ACCEPTOR_1.7","qm_interaction_energy_kcal_mol",-3.4929699605221813,-3.4929699605221813,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=10_MIN01_O2_ACCEPTOR_1.7, column qm_interaction_energy"
"11_MIN01_O2_ACCEPTOR_2.1","qm_interaction_energy_kcal_mol",-4.788671068383645,-4.788671068383645,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=11_MIN01_O2_ACCEPTOR_2.1, column qm_interaction_energy"
"12_MIN01_O2_ACCEPTOR_2.8","qm_interaction_energy_kcal_mol",-2.9788297470249065,-2.9788297470249065,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=12_MIN01_O2_ACCEPTOR_2.8, column qm_interaction_energy"
"13_MIN01_O3_ACCEPTOR_1.7","qm_interaction_energy_kcal_mol",6653.165270957382,6653.165270957382,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=13_MIN01_O3_ACCEPTOR_1.7, column qm_interaction_energy"
"14_MIN01_O3_ACCEPTOR_2.1","qm_interaction_energy_kcal_mol",4097.101108291415,4097.101108291415,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=14_MIN01_O3_ACCEPTOR_2.1, column qm_interaction_energy"
"15_MIN01_O3_ACCEPTOR_2.8","qm_interaction_energy_kcal_mol",1593.8973874601463,1593.8973874601463,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=15_MIN01_O3_ACCEPTOR_2.8, column qm_interaction_energy"
"16_MIN02_S_ACCEPTOR_2.8","qm_interaction_energy_kcal_mol",-0.987503450466242,-0.987503450466242,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=16_MIN02_S_ACCEPTOR_2.8, column qm_interaction_energy"
"17_MIN02_SH_DONOR_2.1","qm_interaction_energy_kcal_mol",-3.529659295928838,-3.529659295928838,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=17_MIN02_SH_DONOR_2.1, column qm_interaction_energy"
"18_MIN04_S_ACCEPTOR_2.8","qm_interaction_energy_kcal_mol",-0.5652004907424181,-0.5652004907424181,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=18_MIN04_S_ACCEPTOR_2.8, column qm_interaction_energy"
"19_MIN04_SH_DONOR_2.1","qm_interaction_energy_kcal_mol",-3.911328064035652,-3.911328064035652,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=19_MIN04_SH_DONOR_2.1, column qm_interaction_energy"
"02_MIN01_S_ACCEPTOR_2.8","qm_interaction_energy_kcal_mol",-0.9481514653799702,-0.9481514653799702,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=02_MIN01_S_ACCEPTOR_2.8, column qm_interaction_energy"
"03_MIN01_S_ACCEPTOR_3.5","qm_interaction_energy_kcal_mol",-0.5053866277824054,-0.5053866277824054,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=03_MIN01_S_ACCEPTOR_3.5, column qm_interaction_energy"
"04_MIN01_SH_DONOR_1.7","qm_interaction_energy_kcal_mol",23.05593107210918,23.05593107210918,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=04_MIN01_SH_DONOR_1.7, column qm_interaction_energy"
"05_MIN01_SH_DONOR_2.1","qm_interaction_energy_kcal_mol",23.722162118692502,23.722162118692502,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=05_MIN01_SH_DONOR_2.1, column qm_interaction_energy"
"06_MIN01_SH_DONOR_2.8","qm_interaction_energy_kcal_mol",28.538680523584038,28.538680523584038,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=06_MIN01_SH_DONOR_2.8, column qm_interaction_energy"
"07_MIN01_O1_ACCEPTOR_1.7","qm_interaction_energy_kcal_mol",-3.5065728208680174,-3.5065728208680174,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=07_MIN01_O1_ACCEPTOR_1.7, column qm_interaction_energy"
"08_MIN01_O1_ACCEPTOR_2.1","qm_interaction_energy_kcal_mol",-4.7753624636852505,-4.7753624636852505,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=08_MIN01_O1_ACCEPTOR_2.1, column qm_interaction_energy"
"09_MIN01_O1_ACCEPTOR_2.8","qm_interaction_energy_kcal_mol",-2.9243221130608914,-2.9243221130608914,0.0,true,"analysis/mettl7-phase2/execution-unit-05O/final-19-point-force-field-diagnostic/MASTER_19_POINT_TABLE.csv","0c4092709a43ef769c366c013c0b1abe37c3627beba4ce6d237b3bfd9a719249","row point_id=09_MIN01_O1_ACCEPTOR_2.8, column qm_interaction_energy"
