run_id,classification,old_receipt_path,old_receipt_sha256,new_receipt_path,new_receipt_sha256,old_recorded_count,coordinate_model_count,profiled_count,emitted_count,poses_sha256,redocking_performed,source_table
A4__PRASUGREL_SR_RS_MINUS__s42,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A4__PRASUGREL_SR_RS_MINUS__s42/receipt.json,81746f3adafad010442c19b4e1f4bcdb5d1bafb808a8a2588ec05185a2d45aed,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A4__PRASUGREL_SR_RS_MINUS__s42/receipt.coordinate-authoritative.v2.json,4a6a853015d67d389c70d7624d6e73188850a05521d39abff0215fda32315bae,9,8,8,8,d0177b1855c5f1b035560bf30f60ae7e168fa52b513a93029c2981d3d23724d5,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A5__BI187004_TAUTOMER_2_N1__s1,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A5__BI187004_TAUTOMER_2_N1__s1/receipt.json,e65b1b5e233aee9956e808bf17656bd014535f3bfb103a87392a86ddd5402d5d,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A5__BI187004_TAUTOMER_2_N1__s1/receipt.coordinate-authoritative.v2.json,44d096b9798fa55af940a5689f4cb4a9021f2b6ab27bde80d899efb1436c1c4d,9,8,8,8,91818d32a78d09a3d931aa4a7daa8b20af3e41652bfa84cf526d2084fdc8bd87,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A5__NETARSUDIL_NEUTRAL__s1,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A5__NETARSUDIL_NEUTRAL__s1/receipt.json,8e89f9f02219be7c064ed22b6da572b3b78f8a76c41754b7d8955fe7dccfb6a5,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A5__NETARSUDIL_NEUTRAL__s1/receipt.coordinate-authoritative.v2.json,eee2d0da6d9519379a479ced32ecc6b3e7a7e48b30119ec25022e66b15e94953,9,8,8,8,82e09cfd45ac9f7240b0ce7fddd090f442fd9a671b62993ff534a9e07e283ff8,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A5__PRASUGREL_SR_RSH__s42,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A5__PRASUGREL_SR_RSH__s42/receipt.json,bc03eea401074acdde80aeb1cffc638f260784035aa02e1b3eb66a4fb2b8d0c8,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A5__PRASUGREL_SR_RSH__s42/receipt.coordinate-authoritative.v2.json,11faa358a364097c5bce2785903ec86b706086cafaeb5deac4a4e4d9a6f45c82,9,8,8,8,21f5ee1a650d38df25154ca75a98b1dab95acdf83a2d4f10e3e2b75a35581325,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A5__PRASUGREL_SR_RS_MINUS__s7,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A5__PRASUGREL_SR_RS_MINUS__s7/receipt.json,c201db62630466b063921951d1253e2cb6b48e8b723fec096f0bd6a351d70326,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A5__PRASUGREL_SR_RS_MINUS__s7/receipt.coordinate-authoritative.v2.json,bf9f6cfb3b84f66915e56a4da0135b69637f2f21cd1d9159cb93fd7d31c03d97,9,7,7,7,e24367beffc1e2ed0a7d1cad1b711c4c8cf9fdbac289d4c532efc08ac8083b59,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A6__PRASUGREL_SS_RSH__s1,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A6__PRASUGREL_SS_RSH__s1/receipt.json,b500feef4a441db0b8d83536220d8a2c70443874cf600c6a0a0f0103d98fa65f,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A6__PRASUGREL_SS_RSH__s1/receipt.coordinate-authoritative.v2.json,22ff9fdf89b06b4ac7f78a69e3dce643650ac5a6e2be90faaf30814f457459bb,9,8,8,8,0b3160a1e951898e78599e73fa83c5170b94ce0daf13bd5ca7aacd348a7fed70,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A6__PRASUGREL_SS_RSH__s42,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A6__PRASUGREL_SS_RSH__s42/receipt.json,6a4e7e2b34b8c21e8fe65b030cf1caac250e2486907e532a12b78f09fc1cd87e,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A6__PRASUGREL_SS_RSH__s42/receipt.coordinate-authoritative.v2.json,09bfa16e94ae808d8987d6fbda5d45dc6e47931bffa77f5f30082e63b7785b19,9,8,8,8,975d93b303d0816eda899debd48d81f96990aa56a7c2e7057e4abf27946396ed,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A7__BETA_D_THIOGLUCOSE_RSH__s1,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A7__BETA_D_THIOGLUCOSE_RSH__s1/receipt.json,5ceaa2eb32ccda49e24ee86793fcb440a5c73746af619f87f6a3a13f90efae23,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A7__BETA_D_THIOGLUCOSE_RSH__s1/receipt.coordinate-authoritative.v2.json,6ff719a777b8f3ebce32007b0364d018d86ddce4d2802ca8c754f67cb0250ac9,9,8,8,8,44fd8d29d621e6e1687f23246f9a996eda44ed7b71020162d0cac193fa7dc37f,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A7__BETA_D_THIOGLUCOSE_RSH__s7,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A7__BETA_D_THIOGLUCOSE_RSH__s7/receipt.json,a770f0c26d0bfc1e997c46acadeefe0b249ba538beefa3f0e3d0c18a55372168,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A7__BETA_D_THIOGLUCOSE_RSH__s7/receipt.coordinate-authoritative.v2.json,95e3f8730c942156f7282929d6a8d8b36838a850d380ac84b5ed37e6d11b5e15,9,8,8,8,7c910463ae05f883ed0a76ca4dcd38134a3ba94d46883fa17e8d598aaf7aee9c,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A7__BI187004_TAUTOMER_1_N3__s1,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A7__BI187004_TAUTOMER_1_N3__s1/receipt.json,cea8dfb3f9206c6a7e5b20d8e90c744b2bbf7935f0f19b8f4a3065465e77bce9,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A7__BI187004_TAUTOMER_1_N3__s1/receipt.coordinate-authoritative.v2.json,a5247237fea9f017bfd822457677ae3e6d985f28f403eda9c6c225f4208e61fd,9,8,8,8,9590e8541ac3bfb181f1d2b7178e258d070ecb8ed8154300733d5cc9f589931c,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A7__BI187004_TAUTOMER_1_N3__s7,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A7__BI187004_TAUTOMER_1_N3__s7/receipt.json,85cb66086a8648ef6178ff0e6be26b45feb8f52928434c5c896f8d34aa52c2c8,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A7__BI187004_TAUTOMER_1_N3__s7/receipt.coordinate-authoritative.v2.json,f403b956333f8884705271528da52d762521aaf5cc1502c201149c40375d9ae3,9,7,7,7,08983ff754c623f19d36ba13471a75aaaf86d162542be67e13e472f7d76047cb,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A7__DTT_RSH2__s42,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A7__DTT_RSH2__s42/receipt.json,cec0e1ebbe500b3013a95a5c177eda64362cfe8288fd6f63ac73a00135f6f0f8,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A7__DTT_RSH2__s42/receipt.coordinate-authoritative.v2.json,d3ad91a8bd7fd9ac0d5da5cb6d083e2e744ec247985d388ba53d5b1135c413b8,9,8,8,8,9cbc586eb1f0065dc18a768dfd49c086df4f8a80e8d8ab573165f4a10c248bd1,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A7__DTT_RSH2__s7,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A7__DTT_RSH2__s7/receipt.json,ec6db7e4e4d37e52ee48163c2fcdfe0982c4b2ccb5a6e2e57b25c565591f13e0,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A7__DTT_RSH2__s7/receipt.coordinate-authoritative.v2.json,6c3a25fcc165caa500c093b9606aed49ad6e0d942ded04431247cf75d53b0348,9,8,8,8,b9baedaf9fabd5b4d3f09b7b48de104c1724f577375a7d3bc315103dd083e8d6,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A7__NETARSUDIL_MONOCATION__s42,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A7__NETARSUDIL_MONOCATION__s42/receipt.json,b233d4df37a457f9d2bc709352862b53017a7a8457007b22bb66994f63e532d8,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A7__NETARSUDIL_MONOCATION__s42/receipt.coordinate-authoritative.v2.json,8b7bbecb7eefcc71de3205c201778e4080be11d1b346e67ef5ff2429ec73cc85,9,8,8,8,a2210eb4d363f99f37c98312ccec83e3054c8c0647a7418281d260a0aa6c33be,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A7__TSL_RSH__s1,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A7__TSL_RSH__s1/receipt.json,ffcb60449d1a3f8faeb538a6629dfafbe4c494d4ac8ab0afc33f78ebbaf146ae,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A7__TSL_RSH__s1/receipt.coordinate-authoritative.v2.json,d0bcf4f322b249dc00af35565b56821f1fcb513f1eea01672c344c174bf0d32c,9,1,1,1,bf7b3c63b9eef0f40b8e18bec7f9d3fde4bedca82af0a477812ba78681a6c483,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A7__TSL_RSH__s42,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A7__TSL_RSH__s42/receipt.json,b22d77bf89ca85ddaee8ae0202d886de46c9e5c557d5750fa3715cb035b9a250,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A7__TSL_RSH__s42/receipt.coordinate-authoritative.v2.json,16f168f061ad83d199698fcac4a9e4906f3b5ee9dc31102ff621b4f6a2868daa,9,1,1,1,82aae0cc0f362c4f4966e4c48e4988d6a8c6b0f2a1f00b4e473dd8c39063106a,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A7__TSL_RSH__s7,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A7__TSL_RSH__s7/receipt.json,9a4e999bdd019f3414565b671adade87008e9441a038a45ae7890338786dfad6,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A7__TSL_RSH__s7/receipt.coordinate-authoritative.v2.json,eca78caba99505df2c3b81b6b8961279a8a417a493a8fa1b765b3cffcd0badbd,9,1,1,1,3ed8deaefcf0ac5d27b912a97fb57891ca2ce641d655f9af09eb3b35e0c2db88,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A7__TSL_RS_MINUS__s1,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A7__TSL_RS_MINUS__s1/receipt.json,7e344333bdcf5dd8755fe37b00670d65f1db5c58f14d6c2a7e2b9e10dd011c6d,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A7__TSL_RS_MINUS__s1/receipt.coordinate-authoritative.v2.json,6c70a235c4f60fc24003d1225e4b68439f6176e3b01ef328f0b24ee2ce966a85,9,2,2,2,ebfc78d514b9eb6d02bf64ec3ab135ce66c79c2ac3d4184740715228beb3100f,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A7__TSL_RS_MINUS__s42,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A7__TSL_RS_MINUS__s42/receipt.json,41e455d246bbcd3cc73fff36617023f7f49693f7351cb16eb0a95316e146ade4,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A7__TSL_RS_MINUS__s42/receipt.coordinate-authoritative.v2.json,4e7cf11641371796da283c5ae689a440654a87829ce0cc3c2c8188a47bd01cf7,9,2,2,2,c50ff0bf850e484772ffcce7fe800d4b4a6a008b2f4e0facb5c41b876423faa2,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
A7__TSL_RS_MINUS__s7,METADATA_CORRECTED,analysis/mettl7/mechanistic_matrix_v2/production/runs/A7__TSL_RS_MINUS__s7/receipt.json,cf2ee9cfb41af5379ad05a10c263fc33dcb3f23ca66a4be8fab3982e3fb1af58,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/A7__TSL_RS_MINUS__s7/receipt.coordinate-authoritative.v2.json,4b7be9e790d6169d4b1a63a471d3a59b93236d9c7536e0d9fbf964922cd43123,9,2,2,2,d5d8a3bd365dd097c0d451adba90b596e5c4cc79be97330f0778e88216e65e68,false,analysis/mettl7/mechanistic_matrix_v2/postprocessing_stage_a/METTL7_V2_POSE_LEVEL_INTERACTIONS.csv
B0_SAH__A67E9FC2FE60A55C_NEUTRAL__s42,METADATA_CORRECTED,analysis/mettl7/mettl7_sam_sah_routing_v1/production/runs/B0_SAH__A67E9FC2FE60A55C_NEUTRAL__s42/receipt.json,e20a6db76d290737912676e5baf0b3cc4b1fc00657264766e30788ece85d2fb5,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/B0_SAH__A67E9FC2FE60A55C_NEUTRAL__s42/receipt.coordinate-authoritative.v2.json,2c5417186aacc3afe2f85ac35605bcc3e706ecc18b0abfd650ab892e3713d829,9,8,8,8,e677b9bb54860b1dc3c2ba7312c0411a812e6c13da1fe2041dabbb3b4c13087a,false,analysis/mettl7/mettl7_sam_sah_routing_v1/SAH_POSE_LEVEL_ATHENA.csv
B0_SAH__CAPTOPRIL_RSH__s42,METADATA_CORRECTED,analysis/mettl7/mettl7_sam_sah_routing_v1/production/runs/B0_SAH__CAPTOPRIL_RSH__s42/receipt.json,be5e86b317118e0e8cb7ec1c6386666eda5f63c156875b1714ce22f3cad1ad12,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/B0_SAH__CAPTOPRIL_RSH__s42/receipt.coordinate-authoritative.v2.json,38e1a0e7a5a68e683886eefbd81d779eca95dd7d576b0ca6e42779f9900776ad,9,8,8,8,7f9a1555cdee2c34b074b7d1c46d7655919751c5ac720e7063bfed80e3d22736,false,analysis/mettl7/mettl7_sam_sah_routing_v1/SAH_POSE_LEVEL_ATHENA.csv
B0_SAH__CAPTOPRIL_RS_MINUS__s7,METADATA_CORRECTED,analysis/mettl7/mettl7_sam_sah_routing_v1/production/runs/B0_SAH__CAPTOPRIL_RS_MINUS__s7/receipt.json,549da950467ddad4d33bf4ccf6a6cd28777956e12d7f033258900b43270e198c,analysis/mettl7/athena_pose_completeness_closure/historical_receipt_recomputation_v2/B0_SAH__CAPTOPRIL_RS_MINUS__s7/receipt.coordinate-authoritative.v2.json,0ca36342c7e73334466dd98c110bc4767a2ff8dc68c1a4e9f27d30ff46fc7a5d,9,8,8,8,d9df868c615819387cd58dcd55e0c6eacaab73679450ecdc0c24153a7e64c645,false,analysis/mettl7/mettl7_sam_sah_routing_v1/SAH_POSE_LEVEL_ATHENA.csv
