campaign_id,partition,source_minimum,perturbation_family,geometry_sha256,result_sha256
TSLRSH-GPU-027,DEVELOPMENT,MIN02,FORCE_CLOUD_PERTURBATION,66b80b07dacfc44d1fcb1f303f20562427529e586df689e7026be144981a2d1a,d2c0e58d76b3125f36ddceedec711a5af36fae1de380ad60d161c9b0717132b9
TSLRSH-GPU-028,DEVELOPMENT,MIN02,FORCE_CLOUD_PERTURBATION,4d6d2620f297636f0b22ef0a3ca7e3a43737adbc03a4b9c9b65ebed8bbd979c8,a598fd2efdc6eaa9b9b76529ac762931c79bcfbe25208adf1c5660f877308b00
TSLRSH-GPU-029,DEVELOPMENT,MIN02,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,df18f502db391fdcd9aedcf20e5eeae94232bd641f7897326d3a647e976e683c,60993644cdee12803ce01aa9244185b964d08981860fcaa00292515b96a5935f
TSLRSH-GPU-030,DEVELOPMENT,MIN02,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,7b6e5e1c82ebe92523d563b4969c548108930c89d7d2bb76115c7e19dd85daca,169be2d653f25a1d755e5a5bd3b3ac6824b16e505af840d818c42815e082308f
TSLRSH-GPU-031,DEVELOPMENT,MIN02,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,97e0732c3a5f73a98d525a14d497da4268d308a443c1c056c4041bfe3f6ce926,d00c2b4d249489fd7ca95cf24e2c67791fde7c63e6259374e5eda141e8355a3c
TSLRSH-GPU-032,SEALED_VALIDATION,MIN02,FORCE_CLOUD_PERTURBATION,f55362fd507f2e4f3742dd9323c88d9b60805c5d75b6e268ec910048588dee55,4ef1fdd97a31790d821e2ae14cb7afc522595f26aa0b3faa98460301be4a87c9
TSLRSH-GPU-033,DEVELOPMENT,MIN02,FORCE_CLOUD_PERTURBATION,c45c50d6d5504db3e2610cec78acdef8749101abceb969174d11744ed3ed313f,871aefbbcc610f3108944c2ab499634c11260560da49c03062f6d89b1ffe7f33
TSLRSH-GPU-034,DEVELOPMENT,MIN02,FORCE_CLOUD_PERTURBATION,362bd994a06558289d357b411fe817ea2a4a370210860e270abbf2c158be815b,b14f5aba871222d3b52796c53455623a6e53e5f3ae391aef796adf91f43043db
TSLRSH-GPU-035,DEVELOPMENT,MIN02,FORCE_CLOUD_PERTURBATION,7f1a3d06ed29e378216008b2b91b05028a4dcac2ad48ac5df46c5c39f4ef364f,90f483a0880bf2309e9d792091757b52dc668c4dbfa0b90f1722e5624ca7c067
TSLRSH-GPU-036,DEVELOPMENT,MIN02,FORCE_CLOUD_PERTURBATION,68e4f5f77ca63bac048311124b8a479c446bf916a31b32d19f78fe599ec12941,6cf888479312fc63cd4dbaba3653ea79053925e7bc95f56836058050a739103f
TSLRSH-GPU-037,DEVELOPMENT,MIN02,FORCE_CLOUD_PERTURBATION,84b660e903fc274c39e2a8075c538609beb9c2ca094e2453fcf5de9734924887,387a0c6507fac8058ff135c65a820c514c2e55d66e1a05ca9e50537eb4ed80ac
TSLRSH-GPU-038,DEVELOPMENT,MIN02,FORCE_CLOUD_PERTURBATION,37b638d43acaea53656d16c81c1ce93c51648682ed65733e3bc1de30cddbc589,fe345e7b0d28b0f7535242166fd040956cfe9bde71733787b892c9c76aef34de
TSLRSH-GPU-039,DEVELOPMENT,MIN02,OTHER_EXISTING_GEOMETRY,daf3f9a6d4a29ce3aa58bbab65273460fc94d075447f26239699c8557f6ae608,794fc7c269aec3039699fddeb1ad27248478777ea795fbc8c2fa21119fd22950
TSLRSH-GPU-040,DEVELOPMENT,MIN02,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,2780e505b546b370668427dd3c9e154ead5ddd1e375ae5e5027675b4f51546af,c117cecfe5d9b9eaa92c60918d084160dfd95c99f6e49af248b5aad66c28b871
TSLRSH-GPU-041,DEVELOPMENT,MIN04,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,9bec879217a16f5146c7826d36457d054577e7303e341d347e5c51f3fa430c07,6533397c3ae5cb4a18b1f3ad1ab518f38edd553e8c18b2ae1000c4d75d1b9434
TSLRSH-GPU-042,SEALED_VALIDATION,MIN04,FORCE_CLOUD_PERTURBATION,a014760728e7aa3ee9f1af7577b3747a21a60d6df273efd99e7d266324da0cbf,8f95841112e3d3b0fa2b6de5d5c08622d125d6d5dae82110b9472e06f6490cce
TSLRSH-GPU-043,DEVELOPMENT,MIN04,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,cbac103875c0a9bf266b10d23447042ba6c684b5183846bb146389e42f841bc3,6fa02804f185f8af243e8db37317b7aa3e79f2ce2d2f014576b07ab6a5b5fbe3
TSLRSH-GPU-044,DEVELOPMENT,MIN04,FORCE_CLOUD_PERTURBATION,ffcdc5b20530be3c33c23c842ecb6c97e668c86aab0db948581a63f4e4de1d17,9f7ee162b3cdbc2d7d0ca1b323c18b809cb34ce63d0b86a1bbd8efbf14f68592
TSLRSH-GPU-045,DEVELOPMENT,MIN04,OTHER_EXISTING_GEOMETRY,db810234cfe572c68795bb6b5bb9f82aaf23660eae39a94ab47de138e7a1a2c7,21c627a69fc9fc4f62be6321da1ddac0fbebb2417e4f97896ac0a34a8578de50
TSLRSH-GPU-046,DEVELOPMENT,MIN04,MINIMUM_OPTIMIZATION_TRAJECTORY,be219a31eb846166df0e03b07d33eeefa034660cbf11498c4aaa3c8ae6caf671,2a3fc33108e8d5f5b22cfb882c98c964e2e3039c6848c23fa853255002b7a072
TSLRSH-GPU-047,DEVELOPMENT,MIN04,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,df99353079c126f5fe43b1b689974ff5949d51aa4ba3f15320e46f6a3e8a0b18,2e8f9948366e3c48620e0b38de261134314ec0b0a5c97d182b24daba77a7bc29
TSLRSH-GPU-048,SEALED_VALIDATION,MIN04,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,9c512b1e188c844aac7162ffc6e120d77913ae71fe8a620ef111867b621c7a1b,81f48ea7416adabc9b1ee335f8184887ddf5ac80005cd651792d1e286dab6e96
TSLRSH-GPU-049,DEVELOPMENT,MIN04,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,bbc230a9fd1083c0833a873522468e7a758e1e396ef708f9158f3fb1e8fab20f,4f6f48fe8aef27dbdc2aed04d094714e5e2b2d38b73a749d073290350ceea380
TSLRSH-GPU-050,DEVELOPMENT,MIN04,OTHER_EXISTING_GEOMETRY,27fab449cb9415769b4596e76da29034d2919daedbde2bb49900fa981440c1b5,6c5c44ce29b7166c0d49e4f98347db8853286469d578664e6130dd1fa6a3d3ef
TSLRSH-GPU-051,DEVELOPMENT,MIN04,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,217b89058443e983e78a4d79261da34ca65aeef28f306c2210821f643f35786c,e4e28dd92a611d76c326780bc1ad469f6775020c27d737371ee474a361c2bcb9
TSLRSH-GPU-052,DEVELOPMENT,MIN04,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,506ade0d2e421bae0544fee91d5a551ae7dedb5805ef2c68a57bb0609d8217a4,496c9ce81b5cf691bfed74f134eee34932f30c0a5aa0be2434252060f81985d4
TSLRSH-GPU-053,SEALED_VALIDATION,MIN04,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,780e63bf0ef3a2ec3e6f5d564b69486434097582725979326d884a63334d7a2a,641fd1a6a3157ac78f6ba9900ac269f6526c46f7750f5bfbd1db57ca9e3245c8
TSLRSH-GPU-054,SEALED_VALIDATION,MIN04,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,6970cfb706b4145fe4ad62e4b344184e4d6d839c8104f39eeb24fb58f4fbcd0a,5696f137bafda414f813ad92aa098de5638878cd1fe1e56fe13da1d00b357ef2
TSLRSH-GPU-055,SEALED_VALIDATION,MIN04,OTHER_EXISTING_GEOMETRY,35691d292fcbff13a10b7cae0a414abe4262de9a0f30a7c75e14f7bbb1276118,dd2d70a4dbe8b7269594f7ba72a65a88028efb2a9ae538f66f4e92515c6eb630
TSLRSH-GPU-056,DEVELOPMENT,MIN04,FORCE_CLOUD_PERTURBATION,0204302f9c4e675bf01c13c86ca54d58bde086d97ffe8c48d7c504ba2ffaa39e,b32ebc79e40252ee5e0caf739003918b291b7674ea6dc30691b025748be8ff2e
TSLRSH-GPU-057,DEVELOPMENT,MIN04,FORCE_CLOUD_PERTURBATION,9c6411cc6450e780c786c587dd013905b63c3a4ff9ceef6d534046adf0b9e460,dd2b63d017d62ffad979b9879e3f25e72699534dc5254d6069f0b262a4916db4
TSLRSH-GPU-058,DEVELOPMENT,MIN04,FORCE_CLOUD_PERTURBATION,4c6ea1f3c6b2c2dc1d2ff4cec20135049ccb9b07e43f9751c2846339edb437f0,c1a02ff16f424ce8ca38b1aa46879a77dfa09d189d416559c1944ca3ed1cbcf5
TSLRSH-GPU-059,DEVELOPMENT,MIN04,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,37e37a863525b4c90b520e6e80b14670537f603108bf8b81cdc8675bd66b38ff,85751429ed78fa2643c7a3a76a9836fede69c62921bf2cb18cf675c9033ca68d
TSLRSH-GPU-060,DEVELOPMENT,MIN04,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,30816ea71aa8c4c14d06d1fb599a8a43afa30c426005317b2c0892ef62adf86e,1d543bd56a16319be6bdb008a019dff9a27a8e479cc1c24b253ef46b18be68fe
