arm,residue,interaction_type,RECURRENT_BASIN_PRESENCE,PERSISTENT_WITHIN_BASIN,total_recurrent_basins
BRANCH_POINT_ENANTIOMER_B,206,PI_CATION,7,7,14
BRANCH_POINT_ENANTIOMER_B,207,HYDROGEN_BOND,5,5,14
BRANCH_POINT_ENANTIOMER_B,207,HYDROPHOBIC_CONTACT,4,4,14
DES_ORTHO_METHYL_A,23,HYDROGEN_BOND,1,1,13
DES_ORTHO_METHYL_A,33,PI_CATION,4,2,13
DES_ORTHO_METHYL_A,99,HYDROGEN_BOND,1,0,13
DES_ORTHO_METHYL_A,99,HYDROPHOBIC_CONTACT,9,6,13
DES_ORTHO_METHYL_A,126,HYDROPHOBIC_CONTACT,13,10,13
DES_ORTHO_METHYL_A,128,HYDROPHOBIC_CONTACT,9,8,13
DES_ORTHO_METHYL_A,129,HYDROPHOBIC_CONTACT,2,2,13
DES_ORTHO_METHYL_A,151,HYDROGEN_BOND,1,1,13
DES_ORTHO_METHYL_A,151,HYDROPHOBIC_CONTACT,13,13,13
DES_ORTHO_METHYL_A,151,PI_CATION,7,5,13
DES_ORTHO_METHYL_A,196,PI_STACK_T_SHAPED,6,6,13
DES_ORTHO_METHYL_A,197,HYDROPHOBIC_CONTACT,1,1,13
DES_ORTHO_METHYL_A,200,HYDROGEN_BOND,2,0,13
DES_ORTHO_METHYL_A,203,HYDROGEN_BOND,1,1,13
DES_ORTHO_METHYL_B,29,HYDROGEN_BOND,2,2,13
DES_ORTHO_METHYL_B,99,HYDROPHOBIC_CONTACT,3,3,13
DES_ORTHO_METHYL_B,151,HYDROPHOBIC_CONTACT,4,3,13
DES_ORTHO_METHYL_B,153,HYDROPHOBIC_CONTACT,3,3,13
DES_ORTHO_METHYL_B,180,HYDROPHOBIC_CONTACT,2,0,13
DES_ORTHO_METHYL_B,185,HYDROPHOBIC_CONTACT,2,2,13
DES_ORTHO_METHYL_B,196,HYDROPHOBIC_CONTACT,8,7,13
DES_ORTHO_METHYL_B,201,HYDROGEN_BOND,1,0,13
DES_ORTHO_METHYL_B,206,HYDROPHOBIC_CONTACT,11,11,13
DES_ORTHO_METHYL_B,206,PI_CATION,4,3,13
DES_ORTHO_METHYL_B,207,HYDROGEN_BOND,4,3,13
DES_ORTHO_METHYL_B,207,HYDROPHOBIC_CONTACT,7,7,13
DES_PARA_METHYL_A,29,HYDROGEN_BOND,1,1,12
DES_PARA_METHYL_A,33,PI_CATION,6,5,12
DES_PARA_METHYL_A,99,HYDROGEN_BOND,3,2,12
DES_PARA_METHYL_A,99,HYDROPHOBIC_CONTACT,5,5,12
DES_PARA_METHYL_A,126,HYDROPHOBIC_CONTACT,10,6,12
DES_PARA_METHYL_A,128,HYDROPHOBIC_CONTACT,9,9,12
DES_PARA_METHYL_A,129,HYDROPHOBIC_CONTACT,2,2,12
DES_PARA_METHYL_A,149,HYDROGEN_BOND,1,1,12
DES_PARA_METHYL_A,151,HYDROPHOBIC_CONTACT,12,11,12
DES_PARA_METHYL_A,151,PI_CATION,6,5,12
DES_PARA_METHYL_A,152,HYDROPHOBIC_CONTACT,2,2,12
DES_PARA_METHYL_A,155,PI_CATION,1,1,12
DES_PARA_METHYL_A,196,PI_CATION,1,0,12
DES_PARA_METHYL_A,196,PI_STACK_T_SHAPED,4,4,12
DES_PARA_METHYL_A,197,HYDROPHOBIC_CONTACT,1,1,12
DES_PARA_METHYL_A,200,HYDROGEN_BOND,1,0,12
DES_PARA_METHYL_B,29,HYDROGEN_BOND,2,1,13
DES_PARA_METHYL_B,99,HYDROPHOBIC_CONTACT,1,1,13
DES_PARA_METHYL_B,150,HYDROGEN_BOND,1,1,13
DES_PARA_METHYL_B,151,HYDROGEN_BOND,1,1,13
DES_PARA_METHYL_B,151,HYDROPHOBIC_CONTACT,8,5,13
DES_PARA_METHYL_B,153,HYDROPHOBIC_CONTACT,3,3,13
DES_PARA_METHYL_B,180,HYDROPHOBIC_CONTACT,1,0,13
DES_PARA_METHYL_B,185,HYDROPHOBIC_CONTACT,1,1,13
DES_PARA_METHYL_B,196,HYDROGEN_BOND,1,1,13
DES_PARA_METHYL_B,196,HYDROPHOBIC_CONTACT,8,7,13
DES_PARA_METHYL_B,196,PI_CATION,2,1,13
DES_PARA_METHYL_B,206,HYDROPHOBIC_CONTACT,12,10,13
DES_PARA_METHYL_B,206,PI_CATION,6,5,13
DES_PARA_METHYL_B,207,HYDROGEN_BOND,7,7,13
DES_PARA_METHYL_B,207,HYDROPHOBIC_CONTACT,3,2,13
DES_PARA_METHYL_B,210,HYDROPHOBIC_CONTACT,1,0,13
N_ACETYL_AMINE_A,29,HYDROGEN_BOND,5,2,12
N_ACETYL_AMINE_A,33,PI_CATION,5,5,12
N_ACETYL_AMINE_A,99,HYDROPHOBIC_CONTACT,8,7,12
N_ACETYL_AMINE_A,126,HYDROPHOBIC_CONTACT,11,10,12
N_ACETYL_AMINE_A,128,HYDROPHOBIC_CONTACT,6,6,12
N_ACETYL_AMINE_A,129,HYDROPHOBIC_CONTACT,4,4,12
N_ACETYL_AMINE_A,151,HYDROPHOBIC_CONTACT,11,11,12
N_ACETYL_AMINE_A,151,PI_CATION,7,7,12
N_ACETYL_AMINE_A,196,PI_STACK_T_SHAPED,4,4,12
N_ACETYL_AMINE_A,200,HYDROGEN_BOND,1,0,12
N_ACETYL_AMINE_B,33,HYDROGEN_BOND,2,0,15
N_ACETYL_AMINE_B,99,HYDROPHOBIC_CONTACT,3,3,15
N_ACETYL_AMINE_B,126,HYDROPHOBIC_CONTACT,2,2,15
N_ACETYL_AMINE_B,151,HYDROPHOBIC_CONTACT,11,9,15
N_ACETYL_AMINE_B,153,HYDROPHOBIC_CONTACT,4,4,15
N_ACETYL_AMINE_B,180,HYDROPHOBIC_CONTACT,1,1,15
N_ACETYL_AMINE_B,196,HYDROPHOBIC_CONTACT,9,8,15
N_ACETYL_AMINE_B,196,PI_CATION,1,1,15
N_ACETYL_AMINE_B,206,HYDROPHOBIC_CONTACT,10,7,15
N_ACETYL_AMINE_B,206,PI_CATION,6,6,15
N_ACETYL_AMINE_B,207,HYDROGEN_BOND,5,5,15
N_ACETYL_AMINE_B,207,HYDROPHOBIC_CONTACT,7,5,15
QUINOLINE_REGIOISOMER_A,33,HYDROGEN_BOND,3,1,11
QUINOLINE_REGIOISOMER_A,33,PI_CATION,2,1,11
QUINOLINE_REGIOISOMER_A,99,HYDROPHOBIC_CONTACT,5,5,11
QUINOLINE_REGIOISOMER_A,126,HYDROGEN_BOND,1,1,11
QUINOLINE_REGIOISOMER_A,126,HYDROPHOBIC_CONTACT,11,10,11
QUINOLINE_REGIOISOMER_A,128,HYDROPHOBIC_CONTACT,6,4,11
QUINOLINE_REGIOISOMER_A,129,HYDROPHOBIC_CONTACT,5,5,11
QUINOLINE_REGIOISOMER_A,149,HYDROGEN_BOND,2,2,11
QUINOLINE_REGIOISOMER_A,151,HYDROPHOBIC_CONTACT,11,11,11
QUINOLINE_REGIOISOMER_A,151,PI_CATION,4,3,11
QUINOLINE_REGIOISOMER_A,152,HYDROPHOBIC_CONTACT,5,4,11
QUINOLINE_REGIOISOMER_A,196,PI_STACK_T_SHAPED,3,3,11
QUINOLINE_REGIOISOMER_A,197,HYDROPHOBIC_CONTACT,2,2,11
QUINOLINE_REGIOISOMER_A,206,HYDROGEN_BOND,1,1,11
QUINOLINE_REGIOISOMER_B,29,HYDROGEN_BOND,1,1,13
QUINOLINE_REGIOISOMER_B,33,HYDROGEN_BOND,2,2,13
QUINOLINE_REGIOISOMER_B,99,HYDROPHOBIC_CONTACT,3,3,13
QUINOLINE_REGIOISOMER_B,126,HYDROPHOBIC_CONTACT,3,2,13
QUINOLINE_REGIOISOMER_B,151,HYDROGEN_BOND,2,2,13
QUINOLINE_REGIOISOMER_B,151,HYDROPHOBIC_CONTACT,7,5,13
QUINOLINE_REGIOISOMER_B,153,HYDROPHOBIC_CONTACT,4,3,13
QUINOLINE_REGIOISOMER_B,196,HYDROGEN_BOND,1,1,13
QUINOLINE_REGIOISOMER_B,196,HYDROPHOBIC_CONTACT,6,5,13
QUINOLINE_REGIOISOMER_B,196,PI_CATION,1,1,13
QUINOLINE_REGIOISOMER_B,206,HYDROPHOBIC_CONTACT,9,8,13
QUINOLINE_REGIOISOMER_B,206,PI_CATION,4,4,13
QUINOLINE_REGIOISOMER_B,207,HYDROGEN_BOND,2,2,13
QUINOLINE_REGIOISOMER_B,207,HYDROPHOBIC_CONTACT,6,5,13
