component,status,source_path,current_runtime_role,scientific_validation_evidence,benchmark_or_reference,known_limitations,production_selectable,should_remain_selectable,latest_relevant_commit
"Dense SR / natural gradient","REFERENCE_ORACLE","software/modules/prometheus/src/main/java/totah/lab/prometheus/variational/StochasticReconfigurationOptimizer.java;GeometryConditionedStochasticReconfigurationOptimizer.java","Default optimizer in H2 validation runners and explicit control for matrix-free SR","Dense versus streamed S-v/update comparisons","Explicit pivoted dense solve","O(P^2) storage/O(P^3) solve; duplicated solvers; H2 scientific optimization failed global gates","yes, through direct class construction","yes, oracle only","c36328734"
"Matrix-free covariance action","PRODUCTION_QUALIFIED","software/modules/prometheus/src/main/java/totah/lab/prometheus/numerics/StreamingCovarianceOperator.java","Only validation experiments currently instantiate it","E4 S-v equivalence passed; E5 inherited operator/scaling gates","Explicit dense covariance at P=20,64,256; synthetic P=1024","Not wired into StochasticReconfigurationOptimizer; source recomputes state O-vector each pass","no","yes","f397f1a44"
"Block-preconditioned matrix-free SR","PRODUCTION_QUALIFIED","software/modules/prometheus/src/main/java/totah/lab/prometheus/numerics/FixedPreconditioners.java;PreconditionedConjugateGradientSolver.java;validation/SolverConvergencePcg.java","Qualified validation path only","BLOCK_PRECONDITIONED_MATRIX_FREE_SR_QUALIFIED; about 8e-13 update agreement; true residual and bitwise replay passed","Dense SR update and locked 1e-12 residual gate","Qualification is numerical/H2 and fixed 5x4 block layout; production optimizer cannot select it; baseline PCG does not independently recompute true residual","no","yes, after production implementation uses true-residual gate","f397f1a44"
"NONE matrix-free preconditioner","DIAGNOSTIC_ONLY","software/modules/prometheus/src/main/java/totah/lab/prometheus/numerics/FixedPreconditioners.java","E4/E5 solver diagnostic","Compensated true-residual variant passed; baseline failed","Dense SR","Floating-point sensitive; qualified only with a validation-only compensated solver","no","yes, diagnostic","f397f1a44"
"DIAGONAL matrix-free preconditioner","FROZEN_NEGATIVE","software/modules/prometheus/src/main/java/totah/lab/prometheus/numerics/FixedPreconditioners.java","E4/E5 solver diagnostic","All preregistered DIAGONAL variants missed 1e-12 true-residual gate","Dense SR","Insufficient for locked H2 SR system; not proven intrinsically wrong","no","no for production","f397f1a44"
"Continuation/warm start","DIAGNOSTIC_ONLY","software/modules/prometheus/src/main/java/totah/lab/prometheus/validation/HydrogenMoleculeCurveValidation.java;HydrogenMoleculeGeneration2Validation.java","Embedded in one-shot H2 curve runners","Gen-2 wall speedup 4.55x and work reduction 81%; global H2 gate failed","Cold-start controls","No reusable production checkpoint or continuation service; scientific state failed","no","yes, diagnostic until independently qualified","c36328734"
"Geometry-conditioned H2 state","FROZEN_NEGATIVE","software/modules/prometheus/src/main/java/totah/lab/prometheus/neural/GeometryConditionedHydrogenMoleculeState.java;CubicChebyshevGeometryEncoder.java","Validation, SWCT and SR numerical control state","GEOMETRY_CONDITIONED_H2_FORCE_FAILED; deterministic replay passed","H2 reference PES and force curve","Shared-state PES/force accuracy and optimizer convergence failed; H2-specific scalar geometry","yes, through direct construction","no for production","1ed4c8e97"
"Direct HF/Pulay force estimator","DIAGNOSTIC_ONLY","software/modules/prometheus/src/main/java/totah/lab/prometheus/variational/HydrogenMoleculeNuclearForceEstimator.java;variational/force/DirectHfPulayForceTrace.java","Force-estimator study only","Frozen baseline replay mismatch; component equations exercised by tests","PES finite-difference slope","Not qualified; H2/bond-axis specific; historical replay mismatch blocks promotion","no","yes, diagnostic","222f9d9cb"
"Parameter-response auditor","DIAGNOSTIC_ONLY","software/modules/prometheus/src/main/java/totah/lab/prometheus/variational/NonstationaryParameterResponseAudit.java","Brute-force response diagnosis","Under-determined/pathological response documented in force-estimator study","Finite-difference parameter Hessian/response","Millions of evaluations; rank deficient at some geometries; never production eligible","no","yes, diagnostic","222f9d9cb"
"Numerical five-traversal SWCT","REFERENCE_ORACLE","software/modules/prometheus/src/main/java/totah/lab/prometheus/variational/force/HydrogenMoleculeSpaceWarpForceEstimator.java","Reference implementation for analytic SWCT","Frozen numerical-versus-analytic oracle","Sorella-Capriotti equations","Approximately 5N state traversals; H2 scalar bond force only","yes, through direct construction","yes, reference only","fb9408404"
"Analytic differential SWCT","PRODUCTION_QUALIFIED","software/modules/prometheus/src/main/java/totah/lab/prometheus/variational/force/AnalyticDifferentialSwctForceEstimator.java","Preferred H2 force kernel in evidence, but not selected by a production service","ANALYTIC_DIFFERENTIAL_SWCT_EQUIVALENT_AND_FASTER; 5N to N; 1.7-2.1x speedup","Numerical SWCT per-sample derivative oracle","H2/two-electron/bond-axis specific; force accuracy inherits failed H2 state","no","yes after arbitrary-nucleus generalization","fb9408404"
"AC-ZV estimator","EXPERIMENTAL_UNQUALIFIED","software/modules/prometheus/src/main/java/totah/lab/prometheus/variational/force/AssarafCaffarelZvForceEstimator.java","Force-estimator study/standalone API","Unit tests and recorded diagnostic rows; global force study stopped on replay prerequisite","Qian et al. 2022 Eq. 11","No accepted estimator-level scientific classification; H2 nucleus indices only","yes, through direct construction","yes, research diagnostic","222f9d9cb"
"AC-ZVZB estimator","EXPERIMENTAL_UNQUALIFIED","software/modules/prometheus/src/main/java/totah/lab/prometheus/variational/force/AssarafCaffarelZvzbForceEstimator.java","Force-estimator study/standalone API","NOT_EVALUATED_LOCKED_PREREQUISITES_FAILED in formal study; unit tests only","Qian et al. 2022 Eqs. 6-10","Not scientifically evaluated under locked study; second pass recomputes states","yes, through direct construction","yes, research diagnostic","222f9d9cb"
"Correlated finite-difference force","DIAGNOSTIC_ONLY","software/modules/prometheus/src/main/java/totah/lab/prometheus/variational/force/CorrelatedSamplingFiniteDifferenceForceEstimator.java","Force-estimator comparator","Force-estimator diagnostic package","PES finite differences/correlated samples","Not promoted; H2 scalar geometry only","yes, through direct construction","yes, reference diagnostic","222f9d9cb"
"Derivative-aware objective implementation","FROZEN_NEGATIVE","software/modules/prometheus/src/main/java/totah/lab/prometheus/validation/DerivativeAwarePesDiagnosticOptimizer.java;DerivativeAwarePesObjectivePreflight.java","Validation-only failed experiment","DERIVATIVE_AWARE_OBJECTIVE_CORRECTNESS_DEFECT","Finite-difference objective gradient","Gradient implementation failed before training; holdout stayed sealed","no","no","d8edf8abd"
"Exact finite-objective differentiation machinery","REFERENCE_ORACLE","software/modules/prometheus/src/main/java/totah/lab/prometheus/validation/ExactFiniteObjectiveDifferentiator.java;ExactFiniteObjectivePreflight.java","Validation-only exact derivative oracle","Preflight derivative gate passed; later objective training classified EXACT_FINITE_OBJECTIVE_DIFFERENTIATION_NOT_SUPPORTED","Independent finite differences","AD machinery passed preflight but objective was scientifically unsuccessful and expensive","no","yes, oracle only","d8edf8abd"
"Evidence serialization","PRODUCTION_CANDIDATE","software/modules/prometheus/src/main/java/totah/lab/prometheus/store/GeneratedEvidenceRegistry.java;CanonicalEvidenceStore.java","Canonical/generated evidence persistence","Registry lifecycle and restart tests; checksum validation","JSONL reload and artifact SHA-256","Generated registry is round-trip capable, but many historical validation artifacts use %.16g and are not bit-authoritative; two persistence formats coexist","yes","yes","759fef9e4"
"Deterministic replay","PRODUCTION_CANDIDATE","software/modules/prometheus/src/main/java/totah/lab/prometheus/validation/HydrogenMoleculeDeterministicReplayAudit.java;MatrixFreeSrSolverConvergenceExperiment.java","Explicit validation gate, not a universal runtime invariant","H2, SWCT and SR bitwise replay evidence","Independent repeated executions","Not enforced uniformly for every neural calculation/result type","no","yes","f397f1a44"
"Checkpointing","EXPERIMENTAL_UNQUALIFIED","software/modules/prometheus/src/main/java/totah/lab/prometheus/validation/CompressedHydrogenMoleculeRootCauseStudy.java;HydrogenMoleculeGeneration2Validation.java","Bespoke validation CSV checkpoints","Individual restart/one-shot guards","File existence and CSV recovery","No typed general checkpoint identity, checksum lifecycle, or optimizer resume service","no","yes only after redesign","c36328734"
"Scientific identity and result reuse","PRODUCTION_QUALIFIED","software/modules/prometheus/src/main/java/totah/lab/prometheus/store/GeneratedEvidenceRegistry.java;planning/EvidencePlanner.java;planning/PlanningEvidenceLoader.java;execution/GeneratedEvidenceLifecycle.java","External-QM evidence requests execute-or-reuse and immediately update durable/in-memory views","Lifecycle, duplicate, checksum mismatch, restart, failure-memory and planning-reuse tests; protocol pilot reuse","Scientific identity/hash and artifact checksums","Not integrated with Java neural calculations or QuantumExecutionService; canonical and generated stores are loaded into a combined copy rather than one live index","yes for external evidence lifecycle","yes","759fef9e4"
"Java quantum execution contract","EXPERIMENTAL_UNQUALIFIED","software/modules/prometheus/src/main/java/totah/lab/prometheus/execution/quantum/QuantumBackend.java;QuantumExecutionService.java;QuantumBackendSelector.java","Architectural contract exercised only in tests","QuantumExecutionArchitectureTest","Request/result identity tests","No concrete QuantumBackend exists in main code; no registry/reuse lifecycle wrapping the service","no","yes after backend implementation","759fef9e4"
"Legacy PySCF force campaign execution","OBSOLETE","software/modules/prometheus/src/main/java/totah/lab/prometheus/execution/ForceCampaignRunner.java;LockedPyscfForceTargetExecutor.java","Incomplete 36-target campaign, 4 reusable and 3 stale RUNNING states recorded","Protocol pilot qualified PySCF path before zero-Python direction","Authoritative historical PySCF calculation","Invokes Python; conflicts with current zero-Python architecture; campaign is incomplete and progress is stale","yes as CLI","no; retain code/evidence only until migration decision","759fef9e4"
"ForceBalance integration","EXPERIMENTAL_UNQUALIFIED","software/modules/prometheus/src/main/java/totah/lab/prometheus/strategy/ForceBalanceStrategy.java;store/FrozenQmTargetDataset.java","Strategy skeleton and immutable target boundary only","Planner tests","ForceBalance methodology","No optimizer implementation, production force-field model, target adapter, or accepted 36-point dataset","no","yes after separate qualification","759fef9e4"
